##NAMES=Clinofergusonite-(Ce)
##RRUFFID=R080102
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_
##LOCALITY=Amherst County, Virginia, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Tan to light brown colored fragment from metamict sample R070300, after heating at T = 1000 C for 20 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080102
8.620246e+002, 3.215368e-002
8.639531e+002, 3.111866e-002
8.658815e+002, 3.043208e-002
8.678100e+002, 2.969122e-002
8.697385e+002, 2.884644e-002
8.716669e+002, 2.835862e-002
8.735954e+002, 2.808626e-002
8.755239e+002, 2.797037e-002
8.774523e+002, 2.781393e-002
8.793808e+002, 2.755771e-002
8.813093e+002, 2.728512e-002
8.832377e+002, 2.699626e-002
8.851662e+002, 2.679867e-002
8.870947e+002, 2.671958e-002
8.890231e+002, 2.648495e-002
8.909516e+002, 2.625742e-002
8.928801e+002, 2.598115e-002
8.948085e+002, 2.573690e-002
8.967370e+002, 2.549663e-002
8.986655e+002, 2.516548e-002
9.005939e+002, 2.469287e-002
9.025224e+002, 2.418270e-002
9.044509e+002, 2.377370e-002
9.063793e+002, 2.352436e-002
9.083078e+002, 2.322271e-002
9.102363e+002, 2.297259e-002
9.121647e+002, 2.281544e-002
9.140932e+002, 2.263496e-002
9.160217e+002, 2.250474e-002
9.179501e+002, 2.239856e-002
9.198786e+002, 2.219006e-002
9.218071e+002, 2.196442e-002
9.237355e+002, 2.182727e-002
9.256640e+002, 2.186863e-002
9.275925e+002, 2.185653e-002
9.295209e+002, 2.180918e-002
9.314494e+002, 2.175886e-002
9.333779e+002, 2.178779e-002
9.353063e+002, 2.175318e-002
9.372348e+002, 2.171247e-002
9.391633e+002, 2.169685e-002
9.410917e+002, 2.181363e-002
9.430202e+002, 2.189478e-002
9.449487e+002, 2.208468e-002
9.468771e+002, 2.219399e-002
9.488056e+002, 2.216284e-002
9.507341e+002, 2.221048e-002
9.526625e+002, 2.231846e-002
9.545910e+002, 2.252164e-002
9.565195e+002, 2.284199e-002
9.584479e+002, 2.287915e-002
9.603764e+002, 2.295739e-002
9.623049e+002, 2.300979e-002
9.642333e+002, 2.309743e-002
9.661618e+002, 2.324164e-002
9.680903e+002, 2.347712e-002
9.700187e+002, 2.367658e-002
9.719472e+002, 2.383135e-002
9.738757e+002, 2.381475e-002
9.758041e+002, 2.387583e-002
9.777326e+002, 2.409322e-002
9.796611e+002, 2.429028e-002
9.815895e+002, 2.444087e-002
9.835180e+002, 2.471599e-002
9.854465e+002, 2.502595e-002
9.873749e+002, 2.521119e-002
9.893034e+002, 2.537020e-002
9.912319e+002, 2.564210e-002
9.931603e+002, 2.584136e-002
9.950888e+002, 2.588079e-002
9.970173e+002, 2.610512e-002
9.989457e+002, 2.638489e-002
1.000874e+003, 2.651510e-002
1.002803e+003, 2.650902e-002
1.004731e+003, 2.660808e-002
1.006660e+003, 2.702893e-002
1.008588e+003, 2.742038e-002
1.010517e+003, 2.761302e-002
1.012445e+003, 2.765750e-002
1.014373e+003, 2.796273e-002
1.016302e+003, 2.833758e-002
1.018230e+003, 2.855499e-002
1.020159e+003, 2.880985e-002
1.022087e+003, 2.917368e-002
1.024016e+003, 2.951362e-002
1.025944e+003, 2.974102e-002
1.027873e+003, 3.005353e-002
1.029801e+003, 3.055044e-002
1.031730e+003, 3.094452e-002
1.033658e+003, 3.125583e-002
1.035587e+003, 3.159672e-002
1.037515e+003, 3.200756e-002
1.039443e+003, 3.241121e-002
1.041372e+003, 3.288093e-002
1.043300e+003, 3.336869e-002
1.045229e+003, 3.394381e-002
1.047157e+003, 3.447286e-002
1.049086e+003, 3.494774e-002
1.051014e+003, 3.554408e-002
1.052943e+003, 3.620699e-002
1.054871e+003, 3.687603e-002
1.056800e+003, 3.772921e-002
1.058728e+003, 3.853885e-002
1.060657e+003, 3.944671e-002
1.062585e+003, 4.038954e-002
1.064514e+003, 4.142286e-002
1.066442e+003, 4.279383e-002
1.068370e+003, 4.445144e-002
1.070299e+003, 4.612550e-002
1.072227e+003, 4.788745e-002
1.074156e+003, 5.002494e-002
1.076084e+003, 5.228086e-002
1.078013e+003, 5.452872e-002
1.079941e+003, 5.703415e-002
1.081870e+003, 5.949155e-002
1.083798e+003, 6.176758e-002
1.085727e+003, 6.380979e-002
1.087655e+003, 6.562088e-002
1.089584e+003, 6.733561e-002
1.091512e+003, 6.883545e-002
1.093441e+003, 6.996695e-002
1.095369e+003, 7.112621e-002
1.097297e+003, 7.228660e-002
1.099226e+003, 7.324681e-002
1.101154e+003, 7.387167e-002
1.103083e+003, 7.414127e-002
1.105011e+003, 7.400937e-002
1.106940e+003, 7.371029e-002
1.108868e+003, 7.311264e-002
1.110797e+003, 7.225212e-002
1.112725e+003, 7.132667e-002
1.114654e+003, 7.040850e-002
1.116582e+003, 6.927647e-002
1.118511e+003, 6.816381e-002
1.120439e+003, 6.706289e-002
1.122368e+003, 6.591558e-002
1.124296e+003, 6.469893e-002
1.126224e+003, 6.364354e-002
1.128153e+003, 6.267342e-002
1.130081e+003, 6.176924e-002
1.132010e+003, 6.083597e-002
1.133938e+003, 5.999625e-002
1.135867e+003, 5.934185e-002
1.137795e+003, 5.882039e-002
1.139724e+003, 5.841164e-002
1.141652e+003, 5.804213e-002
1.143581e+003, 5.761566e-002
1.145509e+003, 5.729685e-002
1.147438e+003, 5.701143e-002
1.149366e+003, 5.654573e-002
1.151295e+003, 5.596967e-002
1.153223e+003, 5.545620e-002
1.155151e+003, 5.497666e-002
1.157080e+003, 5.454707e-002
1.159008e+003, 5.408489e-002
1.160937e+003, 5.350483e-002
1.162865e+003, 5.265839e-002
1.164794e+003, 5.203476e-002
1.166722e+003, 5.154714e-002
1.168651e+003, 5.094005e-002
1.170579e+003, 5.018310e-002
1.172508e+003, 4.926977e-002
1.174436e+003, 4.826699e-002
1.176365e+003, 4.727121e-002
1.178293e+003, 4.620557e-002
1.180222e+003, 4.519888e-002
1.182150e+003, 4.423653e-002
1.184078e+003, 4.315353e-002
1.186007e+003, 4.217248e-002
1.187935e+003, 4.145378e-002
1.189864e+003, 4.082357e-002
1.191792e+003, 4.030861e-002
1.193721e+003, 3.983752e-002
1.195649e+003, 3.941992e-002
1.197578e+003, 3.904612e-002
1.199506e+003, 3.867377e-002
1.201435e+003, 3.794898e-002
1.203363e+003, 3.689372e-002
1.205292e+003, 3.568807e-002
1.207220e+003, 3.446941e-002
1.209149e+003, 3.342691e-002
1.211077e+003, 3.234432e-002
1.213005e+003, 3.113127e-002
1.214934e+003, 3.014389e-002
1.216862e+003, 2.922966e-002
1.218791e+003, 2.831472e-002
1.220719e+003, 2.750408e-002
1.222648e+003, 2.672620e-002
1.224576e+003, 2.594406e-002
1.226505e+003, 2.537844e-002
1.228433e+003, 2.485519e-002
1.230362e+003, 2.442084e-002
1.232290e+003, 2.406853e-002
1.234219e+003, 2.373652e-002
1.236147e+003, 2.331199e-002
1.238076e+003, 2.278587e-002
1.240004e+003, 2.229965e-002
1.241932e+003, 2.192904e-002
1.243861e+003, 2.143992e-002
1.245789e+003, 2.096175e-002
