##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
4.049779e+002, 4.709867e-002
4.069064e+002, 4.702494e-002
4.088348e+002, 4.725080e-002
4.107633e+002, 4.782830e-002
4.126917e+002, 4.819499e-002
4.146202e+002, 4.815391e-002
4.165487e+002, 4.822120e-002
4.184771e+002, 4.850707e-002
4.204056e+002, 4.878581e-002
4.223341e+002, 4.913683e-002
4.242625e+002, 4.982936e-002
4.261910e+002, 5.052520e-002
4.281195e+002, 5.144028e-002
4.300479e+002, 5.271668e-002
4.319764e+002, 5.389709e-002
4.339049e+002, 5.447735e-002
4.358333e+002, 5.484530e-002
4.377618e+002, 5.485022e-002
4.396903e+002, 5.436151e-002
4.416187e+002, 5.351757e-002
4.435472e+002, 5.287719e-002
4.454757e+002, 5.241691e-002
4.474041e+002, 5.219262e-002
4.493326e+002, 5.248390e-002
4.512611e+002, 5.305286e-002
4.531895e+002, 5.369417e-002
4.551180e+002, 5.428226e-002
4.570465e+002, 5.410023e-002
4.589749e+002, 5.328567e-002
4.609034e+002, 5.204156e-002
4.628319e+002, 5.074561e-002
4.647603e+002, 4.985617e-002
4.666888e+002, 4.933330e-002
4.686173e+002, 4.884032e-002
4.705457e+002, 4.885800e-002
4.724742e+002, 4.907069e-002
4.744027e+002, 4.909884e-002
4.763311e+002, 4.945334e-002
4.782596e+002, 5.042018e-002
4.801881e+002, 5.108306e-002
4.821165e+002, 5.190789e-002
4.840450e+002, 5.350791e-002
4.859735e+002, 5.511984e-002
4.879019e+002, 5.577298e-002
4.898304e+002, 5.542828e-002
4.917589e+002, 5.461906e-002
4.936873e+002, 5.350099e-002
4.956158e+002, 5.249912e-002
4.975443e+002, 5.201044e-002
4.994727e+002, 5.193817e-002
5.014012e+002, 5.202783e-002
5.033297e+002, 5.217303e-002
5.052581e+002, 5.219800e-002
5.071866e+002, 5.239805e-002
5.091151e+002, 5.284073e-002
5.110435e+002, 5.268134e-002
5.129720e+002, 5.253541e-002
5.149005e+002, 5.264913e-002
5.168289e+002, 5.297564e-002
5.187574e+002, 5.324577e-002
5.206859e+002, 5.355643e-002
5.226143e+002, 5.377825e-002
5.245428e+002, 5.407077e-002
5.264713e+002, 5.389213e-002
5.283997e+002, 5.414759e-002
5.303282e+002, 5.463842e-002
5.322567e+002, 5.512051e-002
5.341851e+002, 5.543170e-002
5.361136e+002, 5.541844e-002
5.380421e+002, 5.574841e-002
5.399705e+002, 5.621799e-002
5.418990e+002, 5.654636e-002
5.438275e+002, 5.701632e-002
5.457559e+002, 5.740762e-002
5.476844e+002, 5.775310e-002
5.496129e+002, 5.833535e-002
5.515413e+002, 5.898722e-002
5.534698e+002, 5.964838e-002
5.553983e+002, 6.052589e-002
5.573267e+002, 6.153193e-002
5.592552e+002, 6.244408e-002
5.611837e+002, 6.300983e-002
5.631121e+002, 6.329286e-002
5.650406e+002, 6.327977e-002
5.669691e+002, 6.337316e-002
5.688975e+002, 6.320776e-002
5.708260e+002, 6.253608e-002
5.727545e+002, 6.217727e-002
5.746829e+002, 6.228263e-002
5.766114e+002, 6.219129e-002
5.785399e+002, 6.205191e-002
5.804683e+002, 6.207770e-002
5.823968e+002, 6.210792e-002
5.843253e+002, 6.153926e-002
5.862537e+002, 6.064078e-002
5.881822e+002, 5.889694e-002
5.901107e+002, 5.690735e-002
5.920391e+002, 5.543989e-002
5.939676e+002, 5.477668e-002
5.958961e+002, 5.459168e-002
5.978245e+002, 5.455666e-002
5.997530e+002, 5.462692e-002
6.016815e+002, 5.475810e-002
6.036099e+002, 5.497099e-002
6.055384e+002, 5.545240e-002
6.074669e+002, 5.556483e-002
6.093953e+002, 5.642108e-002
6.113238e+002, 5.737311e-002
6.132523e+002, 5.740236e-002
6.151807e+002, 5.792226e-002
6.171091e+002, 5.873332e-002
6.190376e+002, 5.944989e-002
6.209661e+002, 6.002513e-002
6.228945e+002, 6.022988e-002
6.248230e+002, 6.050088e-002
6.267515e+002, 6.165541e-002
6.286799e+002, 6.343784e-002
6.306084e+002, 6.469677e-002
