##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
746.3167, 0.1210608
748.2451, 0.1156031
750.1736, 0.1100822
752.1021, 0.1043624
754.0305, 9.9247828E-02
755.9590, 9.4720490E-02
757.8875, 8.9729451E-02
759.8159, 8.4500387E-02
761.7444, 7.9527743E-02
763.6729, 7.5083777E-02
765.6013, 7.0612662E-02
767.5298, 6.6246338E-02
769.4583, 6.2435672E-02
771.3867, 5.9386641E-02
773.3152, 5.6532290E-02
775.2437, 5.4226659E-02
777.1721, 5.2556749E-02
779.1006, 5.1449120E-02
781.0291, 5.0833851E-02
782.9575, 5.0455660E-02
784.8860, 5.0237060E-02
786.8145, 5.0042640E-02
788.7429, 4.9618158E-02
790.6714, 4.8914120E-02
792.5999, 4.7970120E-02
794.5283, 4.7052469E-02
796.4568, 4.6862509E-02
798.3853, 4.7201332E-02
800.3137, 4.7575019E-02
802.2422, 4.7360871E-02
804.1707, 4.7115549E-02
806.0991, 4.6891090E-02
808.0276, 4.6793710E-02
809.9561, 4.6588890E-02
811.8845, 4.6638310E-02
813.8130, 4.6709292E-02
815.7415, 4.7033072E-02
817.6699, 4.7205120E-02
819.5984, 4.7293190E-02
821.5269, 4.6946399E-02
823.4553, 4.6157420E-02
825.3838, 4.5544010E-02
827.3123, 4.4866119E-02
829.2407, 4.4687651E-02
831.1692, 4.4763401E-02
833.0977, 4.4639219E-02
835.0261, 4.4779699E-02
836.9546, 4.4930380E-02
838.8831, 4.4924181E-02
840.8115, 4.4718388E-02
842.7400, 4.4914860E-02
844.6685, 4.5707978E-02
846.5969, 4.6379831E-02
848.5254, 4.7176652E-02
850.4539, 4.8629239E-02
852.3823, 5.0466418E-02
854.3108, 5.2545559E-02
856.2393, 5.5140730E-02
858.1677, 5.8066551E-02
860.0962, 6.1680850E-02
862.0247, 6.5977037E-02
863.9531, 7.1209706E-02
865.8816, 7.7258430E-02
867.8101, 8.4392853E-02
869.7385, 9.3040407E-02
871.6670, 0.1029015
873.5955, 0.1139572
875.5239, 0.1261695
877.4524, 0.1393977
879.3809, 0.1530556
881.3093, 0.1660162
883.2378, 0.1771606
885.1663, 0.1862236
887.0947, 0.1941773
889.0232, 0.2002674
890.9517, 0.2039496
892.8801, 0.2042101
894.8085, 0.2013980
896.7370, 0.1956912
898.6655, 0.1875399
900.5939, 0.1776658
902.5224, 0.1668586
904.4509, 0.1558491
906.3793, 0.1451810
908.3078, 0.1345963
910.2363, 0.1242313
912.1647, 0.1145794
914.0932, 0.1053781
916.0217, 9.6533082E-02
917.9501, 8.8673137E-02
919.8786, 8.1547998E-02
921.8071, 7.4990682E-02
923.7355, 6.9407687E-02
925.6640, 6.4402692E-02
927.5925, 6.0399130E-02
929.5209, 5.7085991E-02
931.4494, 5.3889181E-02
933.3779, 5.0884571E-02
935.3063, 4.8570938E-02
937.2348, 4.6830121E-02
939.1633, 4.5627140E-02
941.0917, 4.4901859E-02
943.0202, 4.4214468E-02
944.9487, 4.3622069E-02
946.8771, 4.3663919E-02
948.8056, 4.3898690E-02
950.7341, 4.4068418E-02
952.6625, 4.4586569E-02
954.5910, 4.5745231E-02
956.5195, 4.6956521E-02
958.4479, 4.8242401E-02
960.3764, 4.9712021E-02
962.3049, 5.1649041E-02
964.2333, 5.4265600E-02
966.1618, 5.7706960E-02
968.0903, 6.2080920E-02
970.0187, 6.7985930E-02
971.9472, 7.5973891E-02
973.8757, 8.6127713E-02
975.8041, 9.8487630E-02
977.7326, 0.1133538
979.6611, 0.1304424
981.5895, 0.1482578
983.5180, 0.1660917
985.4465, 0.1830868
987.3749, 0.1982728
989.3034, 0.2107984
991.2319, 0.2190828
993.1603, 0.2226522
995.0888, 0.2197399
997.0173, 0.2103994
998.9457, 0.1965561
1000.874, 0.1803403
1002.803, 0.1634557
1004.731, 0.1465348
1006.660, 0.1302382
1008.588, 0.1151308
1010.517, 0.1016438
1012.445, 9.0049341E-02
1014.373, 8.0126546E-02
1016.302, 7.1766093E-02
1018.230, 6.5164030E-02
1020.159, 5.9761770E-02
1022.087, 5.5761300E-02
1024.016, 5.3213470E-02
1025.944, 5.1480420E-02
1027.873, 5.0389320E-02
1029.801, 5.0117180E-02
1031.730, 5.0714120E-02
1033.658, 5.1594552E-02
1035.587, 5.2834291E-02
1037.515, 5.4893941E-02
1039.444, 5.7198439E-02
1041.372, 6.0342461E-02
1043.301, 6.4752974E-02
1045.229, 7.0384823E-02
1047.157, 7.7697121E-02
1049.086, 8.6556062E-02
1051.014, 9.6341193E-02
1052.943, 0.1070461
1054.871, 0.1172197
1056.800, 0.1262817
1058.728, 0.1334271
1060.657, 0.1372355
1062.585, 0.1374137
1064.514, 0.1340236
1066.442, 0.1273493
1068.371, 0.1184080
1070.299, 0.1082642
1072.228, 9.7720221E-02
1074.156, 8.8123947E-02
1076.084, 8.0562256E-02
1078.013, 7.4761763E-02
1079.941, 7.0124812E-02
1081.870, 6.6453181E-02
1083.798, 6.3287273E-02
1085.727, 6.0395788E-02
1087.655, 5.7686750E-02
1089.584, 5.5286799E-02
1091.512, 5.3673431E-02
1093.441, 5.2934758E-02
1095.369, 5.2514169E-02
1097.298, 5.2115031E-02
1099.226, 5.2114770E-02
1101.155, 5.2632570E-02
1103.083, 5.3913590E-02
1105.011, 5.5735260E-02
1106.940, 5.7600129E-02
1108.868, 6.0190950E-02
1110.797, 6.3638218E-02
