##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
6.363940e+002, 5.510741e-002
6.383224e+002, 5.604177e-002
6.402509e+002, 5.680908e-002
6.421794e+002, 5.814302e-002
6.441078e+002, 5.913298e-002
6.460363e+002, 5.973694e-002
6.479648e+002, 6.031317e-002
6.498932e+002, 6.085111e-002
6.518217e+002, 6.144313e-002
6.537502e+002, 6.196684e-002
6.556786e+002, 6.238816e-002
6.576071e+002, 6.280074e-002
6.595356e+002, 6.304887e-002
6.614641e+002, 6.320220e-002
6.633925e+002, 6.353825e-002
6.653210e+002, 6.384657e-002
6.672495e+002, 6.423288e-002
6.691779e+002, 6.446768e-002
6.711064e+002, 6.447653e-002
6.730349e+002, 6.426301e-002
6.749633e+002, 6.392114e-002
6.768918e+002, 6.373724e-002
6.788203e+002, 6.338450e-002
6.807487e+002, 6.297830e-002
6.826772e+002, 6.257778e-002
6.846057e+002, 6.195534e-002
6.865341e+002, 6.113179e-002
6.884626e+002, 6.027070e-002
6.903911e+002, 5.936380e-002
6.923195e+002, 5.840327e-002
6.942480e+002, 5.752887e-002
6.961765e+002, 5.670655e-002
6.981049e+002, 5.577598e-002
7.000334e+002, 5.483545e-002
7.019619e+002, 5.416667e-002
7.038903e+002, 5.339313e-002
7.058188e+002, 5.257785e-002
7.077473e+002, 5.185722e-002
7.096757e+002, 5.113697e-002
7.116042e+002, 5.034487e-002
7.135327e+002, 4.953269e-002
7.154611e+002, 4.869847e-002
7.173896e+002, 4.767021e-002
7.193181e+002, 4.684955e-002
7.212465e+002, 4.625468e-002
7.231750e+002, 4.551720e-002
7.251035e+002, 4.465784e-002
7.270319e+002, 4.382715e-002
7.289604e+002, 4.311427e-002
7.308889e+002, 4.239122e-002
7.328173e+002, 4.162677e-002
7.347458e+002, 4.099528e-002
7.366743e+002, 4.035565e-002
7.386027e+002, 3.960858e-002
7.405312e+002, 3.885837e-002
7.424597e+002, 3.819409e-002
7.443881e+002, 3.757082e-002
7.463166e+002, 3.685947e-002
7.482451e+002, 3.627290e-002
7.501735e+002, 3.554809e-002
7.521020e+002, 3.471402e-002
7.540305e+002, 3.403083e-002
7.559589e+002, 3.331539e-002
7.578874e+002, 3.263528e-002
7.598159e+002, 3.203544e-002
7.617443e+002, 3.137805e-002
7.636728e+002, 3.074313e-002
7.656013e+002, 3.015725e-002
7.675297e+002, 2.962657e-002
7.694582e+002, 2.916337e-002
7.713867e+002, 2.861371e-002
7.733151e+002, 2.804343e-002
7.752436e+002, 2.766197e-002
7.771721e+002, 2.722267e-002
7.791005e+002, 2.662143e-002
7.810290e+002, 2.608970e-002
7.829575e+002, 2.548280e-002
7.848859e+002, 2.502819e-002
7.868144e+002, 2.468175e-002
7.887429e+002, 2.435966e-002
7.906713e+002, 2.398714e-002
7.925998e+002, 2.352772e-002
7.945283e+002, 2.298986e-002
7.964567e+002, 2.254764e-002
7.983852e+002, 2.222728e-002
8.003137e+002, 2.187091e-002
8.022421e+002, 2.133333e-002
8.041706e+002, 2.067690e-002
8.060991e+002, 2.020506e-002
8.080275e+002, 1.980637e-002
8.099560e+002, 1.941401e-002
8.118845e+002, 1.883758e-002
8.138129e+002, 1.821998e-002
8.157414e+002, 1.764706e-002
8.176699e+002, 1.698123e-002
8.195983e+002, 1.630822e-002
8.215268e+002, 1.569300e-002
8.234553e+002, 1.500871e-002
8.253837e+002, 1.438171e-002
8.273122e+002, 1.369639e-002
8.292407e+002, 1.306942e-002
8.311691e+002, 1.252607e-002
8.330976e+002, 1.189359e-002
8.350261e+002, 1.124263e-002
8.369545e+002, 1.040178e-002
8.388830e+002, 9.797774e-003
8.408115e+002, 9.334365e-003
8.427399e+002, 8.853917e-003
8.446684e+002, 8.307116e-003
8.465969e+002, 7.875335e-003
8.485253e+002, 7.532745e-003
8.504538e+002, 7.188515e-003
8.523823e+002, 6.823212e-003
8.543107e+002, 6.430701e-003
8.562392e+002, 6.053883e-003
8.581677e+002, 5.814440e-003
8.600961e+002, 5.577146e-003
8.620246e+002, 5.290670e-003
8.639531e+002, 5.039143e-003
8.658815e+002, 4.823141e-003
8.678100e+002, 4.620964e-003
8.697385e+002, 4.522838e-003
8.716669e+002, 4.349545e-003
8.735954e+002, 4.084874e-003
8.755239e+002, 3.941896e-003
8.774523e+002, 3.855888e-003
8.793808e+002, 3.588568e-003
8.813093e+002, 3.386886e-003
8.832377e+002, 3.430934e-003
8.851662e+002, 3.402824e-003
8.870947e+002, 3.268824e-003
8.890231e+002, 3.118423e-003
8.909516e+002, 3.036685e-003
8.928801e+002, 2.912496e-003
8.948085e+002, 2.760880e-003
8.967370e+002, 2.645549e-003
8.986655e+002, 2.521335e-003
9.005939e+002, 2.473689e-003
9.025224e+002, 2.477164e-003
9.044509e+002, 2.443715e-003
9.063793e+002, 2.372185e-003
9.083078e+002, 2.345209e-003
9.102363e+002, 2.336940e-003
9.121647e+002, 2.133017e-003
9.140932e+002, 2.090795e-003
9.160217e+002, 2.069071e-003
9.179501e+002, 1.945344e-003
9.198786e+002, 1.719935e-003
9.218071e+002, 1.637054e-003
9.237355e+002, 1.700609e-003
9.256640e+002, 1.586180e-003
9.275925e+002, 1.580762e-003
9.295209e+002, 1.589839e-003
9.314494e+002, 1.539419e-003
9.333779e+002, 1.444800e-003
9.353063e+002, 1.414267e-003
