##NAMES=Aeschynite-(Y)
##RRUFFID=R080045
##IDEAL CHEMISTRY=(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_
##LOCALITY=Hittero, Vest-Agder, Norway
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Light brown glassy, from black amorphous sample R060312 after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080045
1.103083e+003, 1.780273e-002
1.105011e+003, 1.778039e-002
1.106940e+003, 1.779673e-002
1.108868e+003, 1.791609e-002
1.110797e+003, 1.798686e-002
1.112725e+003, 1.801705e-002
1.114654e+003, 1.801370e-002
1.116582e+003, 1.804598e-002
1.118511e+003, 1.798595e-002
1.120439e+003, 1.786785e-002
1.122368e+003, 1.786516e-002
1.124296e+003, 1.796372e-002
1.126224e+003, 1.798923e-002
1.128153e+003, 1.798990e-002
1.130081e+003, 1.809827e-002
1.132010e+003, 1.818380e-002
1.133938e+003, 1.822983e-002
1.135867e+003, 1.830293e-002
1.137795e+003, 1.842588e-002
1.139724e+003, 1.855786e-002
1.141652e+003, 1.862842e-002
1.143581e+003, 1.876030e-002
1.145509e+003, 1.898582e-002
1.147438e+003, 1.905416e-002
1.149366e+003, 1.899906e-002
1.151295e+003, 1.893636e-002
1.153223e+003, 1.891975e-002
1.155151e+003, 1.897031e-002
1.157080e+003, 1.905987e-002
1.159008e+003, 1.907835e-002
1.160937e+003, 1.903867e-002
1.162865e+003, 1.897723e-002
1.164794e+003, 1.893858e-002
1.166722e+003, 1.887760e-002
1.168651e+003, 1.884153e-002
1.170579e+003, 1.876411e-002
1.172508e+003, 1.872630e-002
1.174436e+003, 1.872036e-002
1.176365e+003, 1.872927e-002
1.178293e+003, 1.869987e-002
1.180222e+003, 1.870521e-002
1.182150e+003, 1.870364e-002
1.184078e+003, 1.874371e-002
1.186007e+003, 1.881145e-002
1.187935e+003, 1.885326e-002
1.189864e+003, 1.894624e-002
1.191792e+003, 1.903561e-002
1.193721e+003, 1.900593e-002
1.195649e+003, 1.893899e-002
1.197578e+003, 1.887481e-002
