##NAMES=Bastnasite-(Ce)
##RRUFFID=R050409
##IDEAL CHEMISTRY=CeCO_3_F
##LOCALITY=Machni, near Warsak Dam, Zagi Mountain, North-West Frontier Province, Pakistan
##OWNER=RRUFF
##SOURCE=G.R. Rossman
##DESCRIPTION=Yellowish brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050409
##MEASURED CHEMISTRY=(Ce_0.54_(La,Pr)_0.25_Nd_0.21_)_Σ=1_CO_3_F_1.00_
1756.833, 1.4906630E-02
1758.762, 1.6425589E-02
1760.690, 1.7338470E-02
1762.619, 1.7602021E-02
1764.547, 1.7393081E-02
1766.475, 1.6509119E-02
1768.404, 1.5350600E-02
1770.332, 1.4379740E-02
1772.261, 1.3107780E-02
1774.189, 1.1812440E-02
1776.118, 1.1480360E-02
1778.046, 1.0960580E-02
1779.975, 1.0159270E-02
1781.903, 9.7634103E-03
1783.832, 9.3655055E-03
1785.760, 8.9933937E-03
1787.689, 9.3473867E-03
1789.617, 9.4967196E-03
1791.546, 9.4077494E-03
1793.474, 9.3364399E-03
1795.402, 9.4016893E-03
1797.331, 9.6309194E-03
1799.259, 1.0337900E-02
1801.188, 1.0805890E-02
1803.116, 1.0167080E-02
1805.045, 1.0279630E-02
1806.973, 1.0537670E-02
1808.902, 1.0732270E-02
1810.830, 1.1578810E-02
1812.759, 1.2592770E-02
1814.687, 1.3392400E-02
1816.616, 1.4984460E-02
1818.544, 1.7773340E-02
1820.473, 1.9936990E-02
1822.401, 2.1266559E-02
1824.329, 2.1749809E-02
1826.258, 2.1025009E-02
1828.186, 1.8992029E-02
1830.115, 1.6871320E-02
1832.043, 1.4691690E-02
1833.972, 1.3124360E-02
1835.900, 1.1849250E-02
1837.829, 1.1332680E-02
1839.757, 1.1065710E-02
1841.686, 1.0764660E-02
1843.614, 1.0286830E-02
1845.543, 9.5739551E-03
1847.471, 9.7988909E-03
1849.400, 9.8281009E-03
1851.328, 9.8257456E-03
1853.256, 1.0103130E-02
1855.185, 1.0209510E-02
1857.113, 1.0461020E-02
1859.042, 1.0488850E-02
1860.970, 9.9736135E-03
1862.899, 1.0101010E-02
1864.827, 1.0494520E-02
1866.756, 1.0505990E-02
1868.684, 1.0478710E-02
1870.613, 1.0695740E-02
1872.541, 1.0467220E-02
1874.470, 1.0763300E-02
1876.398, 1.0806880E-02
1878.327, 1.0582400E-02
1880.255, 1.0277690E-02
1882.183, 1.0410700E-02
1884.112, 1.0517480E-02
1886.040, 1.0534130E-02
1887.969, 1.1045650E-02
1889.897, 1.2008250E-02
1891.826, 1.1501560E-02
1893.754, 1.0198610E-02
1895.683, 1.0770420E-02
1897.611, 1.1181660E-02
1899.540, 1.0695280E-02
1901.468, 1.0040200E-02
1903.397, 1.0565150E-02
1905.325, 1.1146420E-02
1907.254, 1.1982590E-02
1909.182, 1.1797180E-02
1911.110, 1.0431860E-02
1913.039, 1.0397840E-02
1914.967, 1.1382020E-02
1916.896, 1.1272440E-02
1918.824, 1.1031510E-02
1920.753, 1.0750250E-02
1922.681, 1.1136190E-02
1924.610, 1.1322330E-02
1926.538, 1.1538870E-02
1928.467, 1.1791520E-02
1930.395, 1.0025080E-02
1932.324, 8.9840479E-03
1934.252, 1.1005530E-02
1936.181, 1.2452330E-02
1938.109, 1.2075590E-02
1940.037, 1.0536710E-02
1941.966, 1.0323280E-02
1943.894, 1.0998270E-02
1945.823, 1.1000820E-02
1947.751, 1.0110510E-02
1949.680, 9.8030400E-03
1951.608, 1.0564200E-02
1953.537, 1.1350200E-02
1955.465, 1.0296200E-02
1957.394, 1.0879780E-02
1959.322, 1.4128650E-02
1961.251, 1.3894160E-02
1963.179, 9.8766414E-03
1965.108, 7.5201280E-03
1967.036, 7.7209738E-03
1968.964, 9.8125590E-03
1970.893, 1.2563240E-02
1972.821, 1.4388840E-02
1974.750, 1.5125100E-02
1976.678, 1.7064311E-02
1978.607, 1.9141659E-02
1980.535, 1.7370841E-02
1982.464, 1.6368540E-02
1984.392, 1.6302170E-02
1986.321, 1.6133320E-02
1988.249, 1.5160640E-02
1990.178, 1.2133340E-02
1992.106, 1.2419260E-02
1994.035, 1.4610750E-02
1995.963, 1.4460780E-02
1997.891, 1.4884040E-02
1999.820, 1.5089190E-02
2001.748, 1.5106580E-02
2003.677, 1.3425230E-02
2005.605, 1.4422600E-02
2007.534, 1.6291119E-02
2009.462, 1.4126150E-02
2011.391, 1.2970460E-02
2013.319, 1.4496180E-02
2015.248, 1.4768080E-02
2017.176, 1.3262540E-02
2019.105, 1.3487020E-02
2021.033, 1.4823150E-02
2022.962, 1.5682740E-02
2024.890, 1.7196679E-02
2026.818, 1.6922871E-02
2028.747, 1.6017310E-02
2030.675, 1.5926400E-02
2032.604, 1.7520320E-02
2034.532, 1.7583219E-02
2036.461, 1.5557440E-02
2038.389, 1.5524470E-02
2040.318, 1.5697960E-02
2042.246, 1.4767410E-02
2044.175, 1.6252510E-02
2046.103, 1.6415620E-02
2048.032, 1.6436620E-02
2049.960, 1.7468121E-02
2051.889, 1.6092921E-02
2053.817, 1.5715940E-02
2055.746, 1.6127050E-02
2057.674, 1.5914639E-02
2059.603, 1.5362110E-02
2061.531, 1.4754560E-02
2063.459, 1.6515940E-02
2065.388, 1.7927170E-02
2067.316, 1.7939361E-02
2069.245, 1.6778279E-02
2071.173, 1.5506570E-02
2073.102, 1.6486980E-02
2075.030, 1.7257011E-02
2076.959, 1.7490249E-02
2078.887, 1.7511060E-02
2080.816, 1.7350320E-02
2082.744, 1.6890761E-02
2084.673, 1.6466310E-02
2086.601, 1.7532259E-02
2088.530, 1.7457031E-02
2090.458, 1.5462820E-02
2092.386, 1.5449360E-02
2094.315, 1.6891770E-02
2096.243, 1.7062090E-02
2098.172, 1.6500941E-02
2100.100, 1.6758321E-02
2102.029, 1.7407641E-02
2103.957, 1.7028131E-02
2105.886, 1.7340871E-02
2107.814, 1.9140059E-02
2109.743, 2.0762630E-02
2111.671, 2.0035410E-02
2113.600, 1.6557090E-02
2115.528, 1.5820820E-02
2117.457, 1.6410440E-02
2119.385, 1.6231040E-02
2121.313, 1.5976431E-02
2123.242, 1.4997210E-02
2125.170, 1.4626150E-02
2127.099, 1.4655030E-02
2129.027, 1.4172770E-02
2130.956, 1.3856360E-02
2132.884, 1.3807930E-02
2134.813, 1.3965530E-02
2136.741, 1.3490820E-02
2138.670, 1.4748860E-02
2140.598, 1.6123191E-02
2142.527, 1.5256600E-02
2144.455, 1.2596790E-02
2146.384, 1.4086490E-02
2148.312, 1.4990320E-02
2150.240, 1.4315800E-02
2152.169, 1.3679330E-02
2154.097, 1.3217750E-02
2156.026, 1.1609240E-02
2157.954, 1.1237610E-02
