##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(S^6+^O_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
9.738757e+002, 2.121978e-002
9.758041e+002, 2.203993e-002
9.777326e+002, 2.338721e-002
9.796611e+002, 2.504821e-002
9.815895e+002, 2.663274e-002
9.835180e+002, 2.900945e-002
9.854465e+002, 3.333982e-002
9.873749e+002, 3.955604e-002
9.893034e+002, 4.582613e-002
9.912319e+002, 4.652670e-002
9.931603e+002, 3.982552e-002
9.950888e+002, 3.234188e-002
9.970173e+002, 2.830487e-002
9.989457e+002, 2.670461e-002
1.000874e+003, 2.651313e-002
1.002803e+003, 2.702820e-002
1.004731e+003, 2.787748e-002
1.006660e+003, 2.861362e-002
1.008588e+003, 2.914275e-002
1.010517e+003, 2.991668e-002
1.012445e+003, 3.081886e-002
1.014373e+003, 3.163156e-002
1.016302e+003, 3.271648e-002
1.018230e+003, 3.403962e-002
1.020159e+003, 3.539633e-002
1.022087e+003, 3.628305e-002
1.024016e+003, 3.728502e-002
1.025944e+003, 3.836412e-002
1.027873e+003, 4.014128e-002
1.029801e+003, 4.195374e-002
1.031730e+003, 4.322049e-002
1.033658e+003, 4.439093e-002
1.035587e+003, 4.588619e-002
1.037515e+003, 4.751839e-002
1.039443e+003, 4.945676e-002
1.041372e+003, 5.132515e-002
1.043300e+003, 5.332745e-002
1.045229e+003, 5.525352e-002
1.047157e+003, 5.705137e-002
1.049086e+003, 5.911826e-002
1.051014e+003, 6.167453e-002
1.052943e+003, 6.392942e-002
1.054871e+003, 6.628218e-002
1.056800e+003, 6.896839e-002
1.058728e+003, 7.201921e-002
1.060657e+003, 7.518031e-002
1.062585e+003, 7.871624e-002
1.064514e+003, 8.231452e-002
1.066442e+003, 8.599448e-002
1.068370e+003, 8.971171e-002
1.070299e+003, 9.349008e-002
1.072227e+003, 9.787327e-002
1.074156e+003, 1.025514e-001
1.076084e+003, 1.070781e-001
1.078013e+003, 1.114734e-001
1.079941e+003, 1.162750e-001
1.081870e+003, 1.216680e-001
1.083798e+003, 1.281015e-001
1.085727e+003, 1.349924e-001
1.087655e+003, 1.422308e-001
1.089584e+003, 1.495636e-001
1.091512e+003, 1.558395e-001
1.093441e+003, 1.617107e-001
1.095369e+003, 1.661799e-001
1.097297e+003, 1.686486e-001
1.099226e+003, 1.696731e-001
1.101154e+003, 1.693645e-001
1.103083e+003, 1.669049e-001
1.105011e+003, 1.634831e-001
1.106940e+003, 1.592834e-001
1.108868e+003, 1.545334e-001
1.110797e+003, 1.496967e-001
1.112725e+003, 1.449922e-001
1.114654e+003, 1.403046e-001
1.116582e+003, 1.356372e-001
1.118511e+003, 1.306679e-001
1.120439e+003, 1.262284e-001
1.122368e+003, 1.214421e-001
1.124296e+003, 1.164245e-001
1.126224e+003, 1.119051e-001
1.128153e+003, 1.079778e-001
1.130081e+003, 1.035370e-001
1.132010e+003, 9.898701e-002
1.133938e+003, 9.466568e-002
1.135867e+003, 9.049610e-002
1.137795e+003, 8.660552e-002
1.139724e+003, 8.295868e-002
1.141652e+003, 7.933439e-002
1.143581e+003, 7.559394e-002
1.145509e+003, 7.225210e-002
1.147438e+003, 6.934068e-002
1.149366e+003, 6.679897e-002
1.151295e+003, 6.443804e-002
1.153223e+003, 6.156854e-002
1.155151e+003, 5.873950e-002
1.157080e+003, 5.618039e-002
1.159008e+003, 5.393381e-002
1.160937e+003, 5.273871e-002
1.162865e+003, 5.275586e-002
1.164794e+003, 5.333814e-002
1.166722e+003, 5.436563e-002
1.168651e+003, 5.598254e-002
1.170579e+003, 5.823792e-002
1.172508e+003, 6.027994e-002
1.174436e+003, 6.271925e-002
1.176365e+003, 6.532390e-002
1.178293e+003, 6.753670e-002
1.180222e+003, 6.931727e-002
1.182150e+003, 7.059839e-002
1.184078e+003, 7.109363e-002
1.186007e+003, 7.167499e-002
1.187935e+003, 7.172418e-002
1.189864e+003, 7.131407e-002
1.191792e+003, 7.018741e-002
1.193721e+003, 6.858683e-002
1.195649e+003, 6.634540e-002
1.197578e+003, 6.378231e-002
1.199506e+003, 6.074063e-002
1.201435e+003, 5.743319e-002
1.203363e+003, 5.401056e-002
1.205292e+003, 5.051735e-002
1.207220e+003, 4.687701e-002
1.209149e+003, 4.318110e-002
1.211077e+003, 3.958827e-002
1.213005e+003, 3.627316e-002
1.214934e+003, 3.309916e-002
