##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
1.596770e+003, 1.141184e-001
1.598699e+003, 1.140319e-001
1.600627e+003, 1.140279e-001
1.602556e+003, 1.142446e-001
1.604484e+003, 1.144246e-001
1.606413e+003, 1.145223e-001
1.608341e+003, 1.144088e-001
1.610270e+003, 1.143457e-001
1.612198e+003, 1.143589e-001
1.614127e+003, 1.143910e-001
1.616055e+003, 1.146527e-001
1.617984e+003, 1.145780e-001
1.619912e+003, 1.143943e-001
1.621840e+003, 1.144697e-001
1.623769e+003, 1.145971e-001
1.625697e+003, 1.145728e-001
1.627626e+003, 1.146371e-001
1.629554e+003, 1.146817e-001
1.631483e+003, 1.144775e-001
1.633411e+003, 1.145262e-001
1.635340e+003, 1.147473e-001
1.637268e+003, 1.146273e-001
1.639197e+003, 1.145478e-001
1.641125e+003, 1.145476e-001
1.643054e+003, 1.145411e-001
1.644982e+003, 1.147334e-001
1.646911e+003, 1.148188e-001
1.648839e+003, 1.145606e-001
1.650767e+003, 1.147449e-001
1.652696e+003, 1.151604e-001
1.654624e+003, 1.149677e-001
1.656553e+003, 1.146425e-001
1.658481e+003, 1.147126e-001
1.660410e+003, 1.148600e-001
1.662338e+003, 1.146643e-001
1.664267e+003, 1.143407e-001
1.666195e+003, 1.143633e-001
1.668124e+003, 1.147016e-001
1.670052e+003, 1.147779e-001
1.671981e+003, 1.146723e-001
1.673909e+003, 1.146946e-001
1.675838e+003, 1.148082e-001
1.677766e+003, 1.146903e-001
1.679694e+003, 1.145777e-001
1.681623e+003, 1.145489e-001
1.683551e+003, 1.148050e-001
1.685480e+003, 1.148180e-001
1.687408e+003, 1.144700e-001
1.689337e+003, 1.143172e-001
1.691265e+003, 1.142764e-001
1.693194e+003, 1.144767e-001
1.695122e+003, 1.147645e-001
1.697051e+003, 1.146474e-001
1.698979e+003, 1.146655e-001
1.700908e+003, 1.145506e-001
1.702836e+003, 1.142652e-001
1.704765e+003, 1.144068e-001
1.706693e+003, 1.145899e-001
1.708621e+003, 1.143786e-001
1.710550e+003, 1.142347e-001
1.712478e+003, 1.144020e-001
1.714407e+003, 1.144973e-001
1.716335e+003, 1.144716e-001
1.718264e+003, 1.143577e-001
1.720192e+003, 1.141428e-001
1.722121e+003, 1.141121e-001
1.724049e+003, 1.141674e-001
1.725978e+003, 1.141722e-001
1.727906e+003, 1.141989e-001
1.729835e+003, 1.141487e-001
1.731763e+003, 1.140802e-001
1.733692e+003, 1.141429e-001
1.735620e+003, 1.138328e-001
1.737548e+003, 1.135689e-001
1.739477e+003, 1.133485e-001
1.741405e+003, 1.131908e-001
1.743334e+003, 1.132965e-001
1.745262e+003, 1.132990e-001
1.747191e+003, 1.132437e-001
1.749119e+003, 1.132679e-001
1.751048e+003, 1.134103e-001
1.752976e+003, 1.134273e-001
1.754905e+003, 1.133276e-001
1.756833e+003, 1.134142e-001
1.758762e+003, 1.133076e-001
1.760690e+003, 1.134037e-001
1.762619e+003, 1.136916e-001
1.764547e+003, 1.137452e-001
1.766475e+003, 1.136140e-001
1.768404e+003, 1.134359e-001
1.770332e+003, 1.134576e-001
1.772261e+003, 1.138466e-001
1.774189e+003, 1.141057e-001
1.776118e+003, 1.141250e-001
1.778046e+003, 1.139250e-001
1.779975e+003, 1.138994e-001
1.781903e+003, 1.140835e-001
1.783832e+003, 1.142899e-001
1.785760e+003, 1.141827e-001
1.787689e+003, 1.140607e-001
1.789617e+003, 1.141671e-001
1.791546e+003, 1.143632e-001
1.793474e+003, 1.143035e-001
1.795402e+003, 1.141222e-001
1.797331e+003, 1.140815e-001
1.799259e+003, 1.142817e-001
1.801188e+003, 1.142253e-001
1.803116e+003, 1.140622e-001
1.805045e+003, 1.142465e-001
1.806973e+003, 1.142800e-001
1.808902e+003, 1.143370e-001
1.810830e+003, 1.142962e-001
1.812759e+003, 1.141995e-001
1.814687e+003, 1.141770e-001
1.816616e+003, 1.139911e-001
1.818544e+003, 1.138714e-001
1.820473e+003, 1.141000e-001
1.822401e+003, 1.143310e-001
1.824329e+003, 1.140570e-001
1.826258e+003, 1.137477e-001
1.828186e+003, 1.139030e-001
1.830115e+003, 1.139325e-001
1.832043e+003, 1.139610e-001
1.833972e+003, 1.140882e-001
1.835900e+003, 1.140419e-001
1.837829e+003, 1.140116e-001
1.839757e+003, 1.142132e-001
1.841686e+003, 1.143867e-001
1.843614e+003, 1.144224e-001
1.845543e+003, 1.147476e-001
1.847471e+003, 1.146013e-001
1.849400e+003, 1.142654e-001
1.851328e+003, 1.139740e-001
1.853256e+003, 1.138671e-001
1.855185e+003, 1.140407e-001
1.857113e+003, 1.139495e-001
1.859042e+003, 1.139249e-001
1.860970e+003, 1.140734e-001
1.862899e+003, 1.144176e-001
1.864827e+003, 1.145581e-001
1.866756e+003, 1.143224e-001
1.868684e+003, 1.139842e-001
1.870613e+003, 1.135809e-001
1.872541e+003, 1.134221e-001
1.874470e+003, 1.136008e-001
1.876398e+003, 1.137222e-001
1.878327e+003, 1.135203e-001
1.880255e+003, 1.136283e-001
1.882183e+003, 1.136307e-001
1.884112e+003, 1.131182e-001
1.886040e+003, 1.132485e-001
1.887969e+003, 1.137380e-001
