##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
1.004731e+003, 1.407059e-001
1.006660e+003, 1.395610e-001
1.008588e+003, 1.385148e-001
1.010517e+003, 1.373730e-001
1.012445e+003, 1.363219e-001
1.014373e+003, 1.354160e-001
1.016302e+003, 1.345888e-001
1.018230e+003, 1.335490e-001
1.020159e+003, 1.324585e-001
1.022087e+003, 1.315735e-001
1.024016e+003, 1.308916e-001
1.025944e+003, 1.303939e-001
1.027873e+003, 1.299464e-001
1.029801e+003, 1.296454e-001
1.031730e+003, 1.295950e-001
1.033658e+003, 1.296203e-001
1.035587e+003, 1.297793e-001
1.037515e+003, 1.299711e-001
1.039443e+003, 1.304089e-001
1.041372e+003, 1.310088e-001
1.043300e+003, 1.316711e-001
1.045229e+003, 1.324116e-001
1.047157e+003, 1.334100e-001
1.049086e+003, 1.344605e-001
1.051014e+003, 1.356374e-001
1.052943e+003, 1.369015e-001
1.054871e+003, 1.379715e-001
1.056800e+003, 1.389017e-001
1.058728e+003, 1.396081e-001
1.060657e+003, 1.400455e-001
1.062585e+003, 1.401564e-001
1.064514e+003, 1.399414e-001
1.066442e+003, 1.396354e-001
1.068370e+003, 1.389736e-001
1.070299e+003, 1.380220e-001
1.072227e+003, 1.370361e-001
1.074156e+003, 1.360471e-001
1.076084e+003, 1.349109e-001
1.078013e+003, 1.335959e-001
1.079941e+003, 1.321527e-001
1.081870e+003, 1.305348e-001
1.083798e+003, 1.289525e-001
1.085727e+003, 1.273437e-001
1.087655e+003, 1.257148e-001
1.089584e+003, 1.240280e-001
1.091512e+003, 1.222148e-001
1.093441e+003, 1.203583e-001
1.095369e+003, 1.184513e-001
1.097297e+003, 1.161605e-001
1.099226e+003, 1.136869e-001
1.101154e+003, 1.109621e-001
1.103083e+003, 1.080088e-001
1.105011e+003, 1.046364e-001
1.106940e+003, 1.010140e-001
1.108868e+003, 9.734363e-002
1.110797e+003, 9.354202e-002
1.112725e+003, 8.965048e-002
1.114654e+003, 8.579996e-002
1.116582e+003, 8.191184e-002
1.118511e+003, 7.797264e-002
1.120439e+003, 7.418210e-002
1.122368e+003, 7.072783e-002
1.124296e+003, 6.759996e-002
1.126224e+003, 6.455951e-002
1.128153e+003, 6.185969e-002
1.130081e+003, 5.948234e-002
1.132010e+003, 5.743331e-002
1.133938e+003, 5.547062e-002
1.135867e+003, 5.365240e-002
1.137795e+003, 5.216236e-002
1.139724e+003, 5.080156e-002
1.141652e+003, 4.931656e-002
1.143581e+003, 4.794250e-002
1.145509e+003, 4.679231e-002
1.147438e+003, 4.573181e-002
1.149366e+003, 4.466187e-002
1.151295e+003, 4.350569e-002
1.153223e+003, 4.242423e-002
1.155151e+003, 4.150248e-002
1.157080e+003, 4.051609e-002
1.159008e+003, 3.967214e-002
1.160937e+003, 3.887090e-002
1.162865e+003, 3.804308e-002
1.164794e+003, 3.726643e-002
1.166722e+003, 3.650577e-002
1.168651e+003, 3.565552e-002
1.170579e+003, 3.473354e-002
1.172508e+003, 3.385781e-002
1.174436e+003, 3.307769e-002
1.176365e+003, 3.231128e-002
1.178293e+003, 3.161252e-002
1.180222e+003, 3.085976e-002
1.182150e+003, 3.010939e-002
1.184078e+003, 2.946454e-002
1.186007e+003, 2.887297e-002
1.187935e+003, 2.830519e-002
1.189864e+003, 2.770475e-002
1.191792e+003, 2.700424e-002
1.193721e+003, 2.627601e-002
1.195649e+003, 2.561431e-002
1.197578e+003, 2.492087e-002
1.199506e+003, 2.417389e-002
1.201435e+003, 2.343585e-002
1.203363e+003, 2.277943e-002
1.205292e+003, 2.210134e-002
1.207220e+003, 2.130712e-002
1.209149e+003, 2.056388e-002
1.211077e+003, 1.990428e-002
1.213005e+003, 1.935004e-002
1.214934e+003, 1.880109e-002
1.216862e+003, 1.827493e-002
1.218791e+003, 1.768430e-002
1.220719e+003, 1.710246e-002
1.222648e+003, 1.666472e-002
1.224576e+003, 1.636009e-002
1.226505e+003, 1.600290e-002
1.228433e+003, 1.548914e-002
1.230362e+003, 1.514029e-002
1.232290e+003, 1.483926e-002
1.234219e+003, 1.443947e-002
1.236147e+003, 1.393486e-002
1.238076e+003, 1.336569e-002
1.240004e+003, 1.300402e-002
1.241932e+003, 1.271083e-002
1.243861e+003, 1.234869e-002
1.245789e+003, 1.190398e-002
1.247718e+003, 1.141437e-002
1.249646e+003, 1.095564e-002
1.251575e+003, 1.054618e-002
1.253503e+003, 1.012342e-002
1.255432e+003, 9.874489e-003
1.257360e+003, 9.612750e-003
1.259289e+003, 9.231638e-003
1.261217e+003, 9.009353e-003
1.263146e+003, 8.867555e-003
1.265074e+003, 8.693003e-003
1.267003e+003, 8.474370e-003
1.268931e+003, 8.340154e-003
1.270859e+003, 8.173731e-003
1.272788e+003, 7.847036e-003
1.274716e+003, 7.683950e-003
1.276645e+003, 7.530081e-003
1.278573e+003, 7.248356e-003
1.280502e+003, 7.061634e-003
1.282430e+003, 6.950320e-003
1.284359e+003, 6.752340e-003
1.286287e+003, 6.579944e-003
1.288216e+003, 6.458226e-003
1.290144e+003, 6.421149e-003
1.292073e+003, 6.455994e-003
1.294001e+003, 6.441256e-003
1.295930e+003, 6.417803e-003
1.297858e+003, 6.423134e-003
1.299786e+003, 6.423966e-003
1.301715e+003, 6.389961e-003
1.303643e+003, 6.377017e-003
1.305572e+003, 6.437945e-003
1.307500e+003, 6.419237e-003
1.309429e+003, 6.485488e-003
1.311357e+003, 6.513851e-003
1.313286e+003, 6.510754e-003
1.315214e+003, 6.589655e-003
1.317143e+003, 6.595255e-003
1.319071e+003, 6.590409e-003
1.321000e+003, 6.565288e-003
1.322928e+003, 6.492099e-003
1.324857e+003, 6.514483e-003
1.326785e+003, 6.538905e-003
1.328714e+003, 6.417333e-003
1.330642e+003, 6.418131e-003
1.332570e+003, 6.591845e-003
1.334499e+003, 6.702066e-003
1.336427e+003, 6.746470e-003
1.338356e+003, 6.673527e-003
1.340284e+003, 6.755023e-003
1.342213e+003, 6.797542e-003
1.344141e+003, 6.773245e-003
1.346070e+003, 6.782240e-003
1.347998e+003, 6.886088e-003
1.349927e+003, 6.907525e-003
1.351855e+003, 6.950344e-003
1.353784e+003, 7.120191e-003
1.355712e+003, 7.335110e-003
1.357641e+003, 7.446669e-003
1.359569e+003, 7.624561e-003
1.361497e+003, 7.785240e-003
1.363426e+003, 7.885305e-003
1.365354e+003, 7.945378e-003
1.367283e+003, 8.046554e-003
1.369211e+003, 8.204526e-003
1.371140e+003, 8.319133e-003
1.373068e+003, 8.360868e-003
1.374997e+003, 8.389614e-003
1.376925e+003, 8.373342e-003
1.378854e+003, 8.539279e-003
1.380782e+003, 8.681271e-003
1.382711e+003, 8.763450e-003
1.384639e+003, 8.903708e-003
1.386568e+003, 9.082593e-003
1.388496e+003, 9.129182e-003
1.390424e+003, 9.249449e-003
1.392353e+003, 9.370595e-003
1.394281e+003, 9.451518e-003
1.396210e+003, 9.432027e-003
1.398138e+003, 9.426516e-003
1.400067e+003, 9.462606e-003
1.401995e+003, 9.559583e-003
1.403924e+003, 9.777565e-003
1.405852e+003, 9.769269e-003
1.407781e+003, 9.702999e-003
1.409709e+003, 9.824739e-003
1.411638e+003, 9.966856e-003
1.413566e+003, 9.996991e-003
1.415495e+003, 1.002064e-002
1.417423e+003, 1.014443e-002
1.419351e+003, 1.024219e-002
1.421280e+003, 1.017615e-002
1.423208e+003, 1.016460e-002
1.425137e+003, 1.015922e-002
1.427065e+003, 1.018450e-002
1.428994e+003, 1.037942e-002
1.430922e+003, 1.041464e-002
1.432851e+003, 1.049941e-002
1.434779e+003, 1.067282e-002
1.436708e+003, 1.070184e-002
1.438636e+003, 1.040743e-002
1.440565e+003, 1.026605e-002
1.442493e+003, 1.037337e-002
1.444422e+003, 1.036685e-002
1.446350e+003, 1.028725e-002
1.448278e+003, 1.035185e-002
1.450207e+003, 1.029519e-002
1.452135e+003, 1.021616e-002
1.454064e+003, 1.026357e-002
1.455992e+003, 1.041331e-002
1.457921e+003, 1.028411e-002
1.459849e+003, 9.983153e-003
1.461778e+003, 9.788737e-003
1.463706e+003, 9.762595e-003
1.465635e+003, 9.709923e-003
1.467563e+003, 9.529874e-003
1.469492e+003, 9.400468e-003
1.471420e+003, 9.471586e-003
1.473349e+003, 9.472356e-003
1.475277e+003, 9.365550e-003
1.477205e+003, 9.373224e-003
1.479134e+003, 9.355623e-003
1.481062e+003, 9.304089e-003
1.482991e+003, 9.343722e-003
1.484919e+003, 9.299016e-003
1.486848e+003, 9.262663e-003
1.488776e+003, 9.303202e-003
1.490705e+003, 9.467951e-003
1.492633e+003, 9.393385e-003
1.494562e+003, 9.410193e-003
1.496490e+003, 9.528497e-003
1.498419e+003, 9.586927e-003
1.500347e+003, 9.521073e-003
1.502276e+003, 9.511592e-003
1.504204e+003, 9.844711e-003
1.506132e+003, 1.037905e-002
1.508061e+003, 1.038234e-002
1.509989e+003, 1.004426e-002
1.511918e+003, 9.937358e-003
1.513846e+003, 1.007104e-002
1.515775e+003, 1.032846e-002
1.517703e+003, 1.046722e-002
1.519632e+003, 1.063248e-002
1.521560e+003, 1.060176e-002
1.523489e+003, 1.043702e-002
1.525417e+003, 1.057722e-002
1.527346e+003, 1.068023e-002
1.529274e+003, 1.069850e-002
1.531203e+003, 1.076726e-002
1.533131e+003, 1.095411e-002
1.535059e+003, 1.087410e-002
1.536988e+003, 1.107026e-002
1.538916e+003, 1.174454e-002
1.540845e+003, 1.187914e-002
1.542773e+003, 1.158900e-002
1.544702e+003, 1.144384e-002
1.546630e+003, 1.133251e-002
1.548559e+003, 1.134701e-002
1.550487e+003, 1.137979e-002
1.552416e+003, 1.147692e-002
1.554344e+003, 1.150003e-002
1.556273e+003, 1.153030e-002
1.558201e+003, 1.195593e-002
1.560130e+003, 1.177592e-002
1.562058e+003, 1.118468e-002
1.563986e+003, 1.093402e-002
1.565915e+003, 1.088133e-002
1.567843e+003, 1.091844e-002
1.569772e+003, 1.099011e-002
1.571700e+003, 1.098377e-002
1.573629e+003, 1.104234e-002
1.575557e+003, 1.126255e-002
1.577486e+003, 1.117528e-002
1.579414e+003, 1.100173e-002
1.581343e+003, 1.095133e-002
1.583271e+003, 1.080783e-002
1.585200e+003, 1.068927e-002
1.587128e+003, 1.064587e-002
1.589057e+003, 1.066854e-002
1.590985e+003, 1.074841e-002
1.592913e+003, 1.077747e-002
1.594842e+003, 1.075284e-002
1.596770e+003, 1.062265e-002
1.598699e+003, 1.064333e-002
1.600627e+003, 1.076917e-002
1.602556e+003, 1.071829e-002
1.604484e+003, 1.074723e-002
1.606413e+003, 1.081171e-002
1.608341e+003, 1.079682e-002
1.610270e+003, 1.076339e-002
1.612198e+003, 1.074601e-002
1.614127e+003, 1.078210e-002
1.616055e+003, 1.123307e-002
1.617984e+003, 1.139079e-002
1.619912e+003, 1.122165e-002
1.621840e+003, 1.133423e-002
1.623769e+003, 1.139265e-002
1.625697e+003, 1.139298e-002
1.627626e+003, 1.147644e-002
1.629554e+003, 1.169432e-002
1.631483e+003, 1.186398e-002
1.633411e+003, 1.214944e-002
1.635340e+003, 1.248775e-002
1.637268e+003, 1.249154e-002
1.639197e+003, 1.230801e-002
1.641125e+003, 1.218657e-002
1.643054e+003, 1.219059e-002
1.644982e+003, 1.244645e-002
1.646911e+003, 1.252052e-002
1.648839e+003, 1.235062e-002
1.650767e+003, 1.244587e-002
1.652696e+003, 1.266364e-002
1.654624e+003, 1.214957e-002
1.656553e+003, 1.164548e-002
1.658481e+003, 1.138063e-002
1.660410e+003, 1.116239e-002
1.662338e+003, 1.111836e-002
1.664267e+003, 1.085456e-002
1.666195e+003, 1.059448e-002
1.668124e+003, 1.060321e-002
1.670052e+003, 1.041015e-002
1.671981e+003, 9.913176e-003
1.673909e+003, 9.781923e-003
1.675838e+003, 9.738828e-003
1.677766e+003, 9.385268e-003
1.679694e+003, 9.114115e-003
1.681623e+003, 8.929168e-003
1.683551e+003, 9.264461e-003
1.685480e+003, 9.233051e-003
1.687408e+003, 8.733926e-003
1.689337e+003, 8.567818e-003
1.691265e+003, 8.510812e-003
1.693194e+003, 8.485499e-003
1.695122e+003, 8.783117e-003
1.697051e+003, 8.688070e-003
1.698979e+003, 8.539150e-003
1.700908e+003, 8.422568e-003
1.702836e+003, 8.121729e-003
1.704765e+003, 8.157254e-003
1.706693e+003, 8.311666e-003
1.708621e+003, 8.402703e-003
1.710550e+003, 8.595988e-003
1.712478e+003, 9.000994e-003
1.714407e+003, 9.396171e-003
1.716335e+003, 9.920056e-003
1.718264e+003, 1.042928e-002
1.720192e+003, 1.056821e-002
1.722121e+003, 1.057260e-002
1.724049e+003, 1.058461e-002
1.725978e+003, 1.072337e-002
1.727906e+003, 1.071021e-002
1.729835e+003, 1.047789e-002
1.731763e+003, 1.038456e-002
1.733692e+003, 1.016615e-002
1.735620e+003, 9.539400e-003
1.737548e+003, 8.990185e-003
1.739477e+003, 8.513584e-003
1.741405e+003, 7.875806e-003
1.743334e+003, 7.407225e-003
1.745262e+003, 6.885718e-003
1.747191e+003, 6.464471e-003
1.749119e+003, 6.168130e-003
1.751048e+003, 5.875684e-003
1.752976e+003, 5.596096e-003
1.754905e+003, 5.462913e-003
1.756833e+003, 5.457717e-003
1.758762e+003, 5.461361e-003
1.760690e+003, 5.435680e-003
1.762619e+003, 5.453045e-003
1.764547e+003, 5.447646e-003
1.766475e+003, 5.349446e-003
1.768404e+003, 5.305310e-003
1.770332e+003, 5.450088e-003
1.772261e+003, 5.693745e-003
1.774189e+003, 5.562142e-003
1.776118e+003, 5.350615e-003
1.778046e+003, 5.241523e-003
1.779975e+003, 5.327790e-003
1.781903e+003, 5.460736e-003
1.783832e+003, 5.348499e-003
1.785760e+003, 5.299709e-003
1.787689e+003, 5.215739e-003
1.789617e+003, 5.145018e-003
1.791546e+003, 5.311320e-003
1.793474e+003, 5.431205e-003
1.795402e+003, 5.309638e-003
1.797331e+003, 5.253945e-003
1.799259e+003, 5.184321e-003
1.801188e+003, 5.316352e-003
1.803116e+003, 5.234528e-003
1.805045e+003, 4.997279e-003
1.806973e+003, 4.995688e-003
1.808902e+003, 5.213250e-003
1.810830e+003, 5.344389e-003
1.812759e+003, 5.218259e-003
1.814687e+003, 4.817531e-003
1.816616e+003, 4.614955e-003
1.818544e+003, 4.991658e-003
1.820473e+003, 5.220791e-003
1.822401e+003, 5.206871e-003
1.824329e+003, 5.172284e-003
1.826258e+003, 4.993284e-003
1.828186e+003, 5.050373e-003
1.830115e+003, 5.358752e-003
1.832043e+003, 5.234849e-003
1.833972e+003, 5.022020e-003
1.835900e+003, 4.827640e-003
1.837829e+003, 4.818130e-003
1.839757e+003, 4.877831e-003
1.841686e+003, 4.873980e-003
1.843614e+003, 5.111497e-003
1.845543e+003, 5.120536e-003
1.847471e+003, 4.979769e-003
1.849400e+003, 5.053166e-003
1.851328e+003, 4.971957e-003
1.853256e+003, 5.036701e-003
1.855185e+003, 5.372071e-003
1.857113e+003, 5.256251e-003
1.859042e+003, 4.803285e-003
1.860970e+003, 4.612341e-003
1.862899e+003, 4.957259e-003
1.864827e+003, 5.148795e-003
1.866756e+003, 5.239279e-003
1.868684e+003, 5.281086e-003
1.870613e+003, 5.191092e-003
1.872541e+003, 4.943528e-003
1.874470e+003, 4.798851e-003
1.876398e+003, 4.820924e-003
1.878327e+003, 5.049850e-003
