##NAMES=Margarosanite
##RRUFFID=R120111
##IDEAL CHEMISTRY=Ca_2_Pb^2+^Si_3_O_9_
##LOCALITY=Parker shaft, Franklin, New Jersey, USA
##OWNER=RRUFF
##SOURCE=Caltech  
##DESCRIPTION=Pearly, colorless cleavages
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120111
8.774523e+002, 2.081134e-001
8.793808e+002, 2.149022e-001
8.813093e+002, 2.222503e-001
8.832377e+002, 2.296179e-001
8.851662e+002, 2.373641e-001
8.870947e+002, 2.455746e-001
8.890231e+002, 2.546997e-001
8.909516e+002, 2.641873e-001
8.928801e+002, 2.736373e-001
8.948085e+002, 2.831312e-001
8.967370e+002, 2.923451e-001
8.986655e+002, 3.009613e-001
9.005939e+002, 3.089170e-001
9.025224e+002, 3.155154e-001
9.044509e+002, 3.219490e-001
9.063793e+002, 3.283970e-001
9.083078e+002, 3.346920e-001
9.102363e+002, 3.404292e-001
9.121647e+002, 3.449446e-001
9.140932e+002, 3.469022e-001
9.160217e+002, 3.472894e-001
9.179501e+002, 3.476377e-001
9.198786e+002, 3.484312e-001
9.218071e+002, 3.489999e-001
9.237355e+002, 3.477988e-001
9.256640e+002, 3.433036e-001
9.275925e+002, 3.351923e-001
9.295209e+002, 3.269080e-001
9.314494e+002, 3.214251e-001
9.333779e+002, 3.180734e-001
9.353063e+002, 3.156238e-001
9.372348e+002, 3.120275e-001
9.391633e+002, 3.065524e-001
9.410917e+002, 2.992436e-001
9.430202e+002, 2.915726e-001
9.449487e+002, 2.847015e-001
9.468771e+002, 2.781965e-001
9.488056e+002, 2.728558e-001
9.507341e+002, 2.700497e-001
9.526625e+002, 2.690503e-001
9.545910e+002, 2.689807e-001
9.565195e+002, 2.677905e-001
9.584479e+002, 2.639892e-001
9.603764e+002, 2.582927e-001
9.623049e+002, 2.515877e-001
9.642333e+002, 2.444850e-001
9.661618e+002, 2.374515e-001
9.680903e+002, 2.308525e-001
9.700187e+002, 2.249977e-001
9.719472e+002, 2.208877e-001
9.738757e+002, 2.185130e-001
9.758041e+002, 2.163529e-001
9.777326e+002, 2.133750e-001
9.796611e+002, 2.084472e-001
9.815895e+002, 2.017882e-001
9.835180e+002, 1.951606e-001
9.854465e+002, 1.896902e-001
9.873749e+002, 1.851234e-001
9.893034e+002, 1.810911e-001
9.912319e+002, 1.773743e-001
9.931603e+002, 1.745727e-001
9.950888e+002, 1.733512e-001
9.970173e+002, 1.741550e-001
9.989457e+002, 1.779110e-001
1.000874e+003, 1.833879e-001
1.002803e+003, 1.881902e-001
1.004731e+003, 1.908167e-001
1.006660e+003, 1.921312e-001
1.008588e+003, 1.920452e-001
1.010517e+003, 1.888604e-001
1.012445e+003, 1.821507e-001
1.014373e+003, 1.731363e-001
1.016302e+003, 1.626673e-001
1.018230e+003, 1.514436e-001
1.020159e+003, 1.402186e-001
1.022087e+003, 1.297460e-001
1.024016e+003, 1.202760e-001
1.025944e+003, 1.112082e-001
1.027873e+003, 1.028093e-001
1.029801e+003, 9.545781e-002
1.031730e+003, 8.898614e-002
1.033658e+003, 8.281689e-002
1.035587e+003, 7.718424e-002
1.037515e+003, 7.237232e-002
1.039443e+003, 6.755389e-002
1.041372e+003, 6.302880e-002
1.043300e+003, 5.882880e-002
1.045229e+003, 5.475894e-002
1.047157e+003, 5.073268e-002
1.049086e+003, 4.704493e-002
1.051014e+003, 4.321408e-002
1.052943e+003, 3.947007e-002
1.054871e+003, 3.574491e-002
1.056800e+003, 3.237147e-002
1.058728e+003, 2.903086e-002
1.060657e+003, 2.596553e-002
1.062585e+003, 2.330385e-002
1.064514e+003, 2.080462e-002
1.066442e+003, 1.907053e-002
1.068370e+003, 1.814394e-002
1.070299e+003, 1.708162e-002
1.072227e+003, 1.588983e-002
1.074156e+003, 1.483233e-002
1.076084e+003, 1.411164e-002
1.078013e+003, 1.347122e-002
1.079941e+003, 1.268681e-002
1.081870e+003, 1.161190e-002
1.083798e+003, 1.125913e-002
1.085727e+003, 1.129737e-002
1.087655e+003, 1.055798e-002
1.089584e+003, 1.004155e-002
1.091512e+003, 9.576697e-003
1.093441e+003, 9.160421e-003
1.095369e+003, 9.102285e-003
1.097297e+003, 8.925228e-003
1.099226e+003, 8.715410e-003
1.101154e+003, 8.324923e-003
1.103083e+003, 8.003001e-003
1.105011e+003, 8.037767e-003
1.106940e+003, 7.892302e-003
1.108868e+003, 7.642773e-003
1.110797e+003, 7.880257e-003
1.112725e+003, 7.747690e-003
1.114654e+003, 7.503881e-003
1.116582e+003, 7.556582e-003
1.118511e+003, 7.654599e-003
1.120439e+003, 7.553197e-003
1.122368e+003, 7.521064e-003
1.124296e+003, 7.561113e-003
1.126224e+003, 7.031294e-003
1.128153e+003, 6.766547e-003
1.130081e+003, 6.894453e-003
1.132010e+003, 6.788313e-003
1.133938e+003, 6.968016e-003
1.135867e+003, 6.944214e-003
1.137795e+003, 6.610182e-003
1.139724e+003, 6.650971e-003
1.141652e+003, 6.682354e-003
1.143581e+003, 6.822970e-003
1.145509e+003, 6.825125e-003
1.147438e+003, 6.601935e-003
1.149366e+003, 6.552485e-003
1.151295e+003, 6.420220e-003
1.153223e+003, 6.202862e-003
1.155151e+003, 6.378615e-003
1.157080e+003, 6.538585e-003
1.159008e+003, 6.557342e-003
1.160937e+003, 6.537467e-003
1.162865e+003, 6.344731e-003
1.164794e+003, 6.177538e-003
1.166722e+003, 6.510443e-003
1.168651e+003, 6.792266e-003
1.170579e+003, 6.629015e-003
1.172508e+003, 6.340574e-003
1.174436e+003, 6.207208e-003
1.176365e+003, 6.543837e-003
