##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
1.569772e+003, 2.642291e-004
1.571700e+003, 2.074337e-004
1.573629e+003, 4.596036e-004
1.575557e+003, 9.197806e-004
1.577486e+003, 7.051297e-004
1.579414e+003, 3.328810e-004
1.581343e+003, 3.808617e-004
1.583271e+003, 3.527493e-004
1.585200e+003, 2.785914e-004
1.587128e+003, 3.113661e-004
1.589057e+003, 5.288644e-004
1.590985e+003, 5.159781e-004
1.592913e+003, 3.972235e-004
1.594842e+003, 3.998496e-004
1.596770e+003, 5.197983e-004
1.598699e+003, 5.741577e-004
1.600627e+003, 6.150624e-004
1.602556e+003, 6.740712e-004
1.604484e+003, 7.221159e-004
1.606413e+003, 6.526894e-004
1.608341e+003, 6.744684e-004
1.610270e+003, 7.802582e-004
1.612198e+003, 8.312821e-004
1.614127e+003, 9.140774e-004
1.616055e+003, 1.241351e-003
1.617984e+003, 1.173915e-003
1.619912e+003, 9.291606e-004
1.621840e+003, 9.810982e-004
1.623769e+003, 1.113068e-003
1.625697e+003, 1.082273e-003
1.627626e+003, 1.087955e-003
1.629554e+003, 8.982043e-004
1.631483e+003, 9.147300e-004
1.633411e+003, 1.210920e-003
1.635340e+003, 1.573091e-003
1.637268e+003, 1.390266e-003
1.639197e+003, 1.218261e-003
1.641125e+003, 1.364131e-003
1.643054e+003, 1.416379e-003
1.644982e+003, 1.528460e-003
1.646911e+003, 1.582243e-003
1.648839e+003, 1.427015e-003
1.650767e+003, 1.759709e-003
1.652696e+003, 2.324685e-003
1.654624e+003, 1.862710e-003
1.656553e+003, 1.320614e-003
1.658481e+003, 1.153699e-003
1.660410e+003, 1.074747e-003
1.662338e+003, 1.288990e-003
1.664267e+003, 1.331131e-003
1.666195e+003, 1.260654e-003
1.668124e+003, 1.331300e-003
1.670052e+003, 1.410054e-003
1.671981e+003, 1.284962e-003
1.673909e+003, 1.292044e-003
1.675838e+003, 1.445004e-003
1.677766e+003, 1.309925e-003
1.679694e+003, 1.054496e-003
1.681623e+003, 1.090391e-003
1.683551e+003, 1.706125e-003
1.685480e+003, 1.687191e-003
1.687408e+003, 1.069422e-003
1.689337e+003, 1.010826e-003
1.691265e+003, 9.728048e-004
1.693194e+003, 1.130315e-003
1.695122e+003, 1.579929e-003
1.697051e+003, 1.523793e-003
1.698979e+003, 1.529748e-003
1.700908e+003, 1.636299e-003
1.702836e+003, 1.239381e-003
1.704765e+003, 1.088200e-003
1.706693e+003, 1.003179e-003
1.708621e+003, 1.047889e-003
1.710550e+003, 9.562750e-004
1.712478e+003, 1.043822e-003
1.714407e+003, 1.416650e-003
1.716335e+003, 1.851554e-003
1.718264e+003, 1.924975e-003
1.720192e+003, 1.807826e-003
1.722121e+003, 1.683096e-003
1.724049e+003, 1.495267e-003
1.725978e+003, 1.405659e-003
1.727906e+003, 1.514495e-003
1.729835e+003, 1.535996e-003
1.731763e+003, 1.621885e-003
1.733692e+003, 1.546783e-003
1.735620e+003, 9.895571e-004
1.737548e+003, 5.776596e-004
1.739477e+003, 5.635906e-004
1.741405e+003, 4.516832e-004
1.743334e+003, 3.623125e-004
1.745262e+003, 9.101937e-005
1.747191e+003, 2.135561e-005
1.749119e+003, 1.261424e-005
1.751048e+003, 9.008705e-005
1.752976e+003, -3.556651e-005
1.754905e+003, -2.055399e-004
1.756833e+003, -1.136386e-004
1.758762e+003, -5.706886e-005
1.760690e+003, 1.624093e-004
1.762619e+003, 2.044010e-004
1.764547e+003, -6.754592e-006
1.766475e+003, -4.135045e-005
1.768404e+003, -2.674626e-005
1.770332e+003, 2.402716e-004
1.772261e+003, 4.878100e-004
1.774189e+003, 1.797053e-004
1.776118e+003, -4.675659e-005
1.778046e+003, -8.615491e-005
1.779975e+003, -7.834315e-005
1.781903e+003, -1.006804e-004
1.783832e+003, -7.584639e-005
1.785760e+003, 4.584203e-005
1.787689e+003, 5.619013e-005
1.789617e+003, 1.821607e-004
1.791546e+003, 5.149282e-004
1.793474e+003, 5.874417e-004
1.795402e+003, 1.885362e-004
1.797331e+003, -4.108869e-005
1.799259e+003, -3.337740e-005
1.801188e+003, 1.008057e-004
1.803116e+003, -8.309285e-005
1.805045e+003, -1.509272e-004
1.806973e+003, -3.680072e-005
1.808902e+003, -1.451238e-004
1.810830e+003, -3.525035e-004
1.812759e+003, -2.214410e-004
1.814687e+003, -4.549349e-004
1.816616e+003, -5.093688e-004
1.818544e+003, -2.552669e-004
1.820473e+003, -1.984839e-004
1.822401e+003, -2.614050e-004
1.824329e+003, -3.745790e-005
1.826258e+003, -7.482069e-005
1.828186e+003, -2.340012e-004
1.830115e+003, -2.990997e-004
1.832043e+003, -5.852145e-004
1.833972e+003, -7.787222e-004
1.835900e+003, -6.856344e-004
1.837829e+003, -6.601209e-004
1.839757e+003, -6.335157e-004
1.841686e+003, -6.350960e-004
1.843614e+003, -6.982493e-004
1.845543e+003, -8.081399e-004
1.847471e+003, -8.016954e-004
1.849400e+003, -8.347805e-004
1.851328e+003, -9.443991e-004
1.853256e+003, -1.041106e-003
1.855185e+003, -8.492182e-004
1.857113e+003, -7.634745e-004
1.859042e+003, -9.206087e-004
1.860970e+003, -7.038597e-004
1.862899e+003, -6.868755e-004
1.864827e+003, -1.091104e-003
1.866756e+003, -1.199195e-003
1.868684e+003, -1.074361e-003
1.870613e+003, -1.208588e-003
1.872541e+003, -1.362455e-003
1.874470e+003, -1.305061e-003
1.876398e+003, -9.482904e-004
1.878327e+003, -8.337054e-004
1.880255e+003, -8.930963e-004
1.882183e+003, -9.584160e-004
1.884112e+003, -1.798832e-003
1.886040e+003, -1.794777e-003
1.887969e+003, -1.297034e-003
1.889897e+003, -1.145320e-003
1.891826e+003, -1.088322e-003
1.893754e+003, -1.193658e-003
1.895683e+003, -1.536453e-003
1.897611e+003, -1.411390e-003
1.899540e+003, -1.658858e-003
1.901468e+003, -1.396404e-003
1.903397e+003, -1.106289e-003
1.905325e+003, -1.310419e-003
1.907254e+003, -1.820302e-003
1.909182e+003, -2.101624e-003
1.911110e+003, -2.003524e-003
1.913039e+003, -1.977277e-003
1.914967e+003, -1.715633e-003
1.916896e+003, -1.362574e-003
1.918824e+003, -1.457083e-003
1.920753e+003, -1.518050e-003
1.922681e+003, -1.656964e-003
1.924610e+003, -2.258007e-003
1.926538e+003, -2.228471e-003
1.928467e+003, -1.808486e-003
1.930395e+003, -2.080699e-003
1.932324e+003, -1.745100e-003
1.934252e+003, -1.217066e-003
1.936181e+003, -1.887602e-003
