##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
933.3779, 0.4453909
935.3063, 0.4559291
937.2348, 0.4626369
939.1633, 0.4656424
941.0917, 0.4649563
943.0202, 0.4613740
944.9487, 0.4572299
946.8771, 0.4555455
948.8056, 0.4576897
950.7341, 0.4620242
952.6625, 0.4660311
954.5910, 0.4675672
956.5195, 0.4670812
958.4479, 0.4655843
960.3764, 0.4629110
962.3049, 0.4591778
964.2333, 0.4544518
966.1618, 0.4496682
968.0903, 0.4446800
970.0187, 0.4397464
971.9472, 0.4353283
973.8757, 0.4308409
975.8041, 0.4265521
977.7326, 0.4232262
979.6611, 0.4201787
981.5895, 0.4170870
983.5180, 0.4138367
985.4465, 0.4101439
987.3749, 0.4058806
989.3034, 0.4009505
991.2319, 0.3949425
993.1603, 0.3877930
995.0888, 0.3804309
997.0173, 0.3726442
998.9457, 0.3644004
1000.874, 0.3568033
1002.803, 0.3499537
1004.731, 0.3436023
1006.660, 0.3382696
1008.588, 0.3344527
1010.517, 0.3318728
1012.445, 0.3309884
1014.373, 0.3317581
1016.302, 0.3336978
1018.230, 0.3372340
1020.159, 0.3420748
1022.087, 0.3484644
1024.016, 0.3565729
1025.944, 0.3663020
1027.873, 0.3759765
1029.801, 0.3842238
1031.730, 0.3896954
1033.658, 0.3923806
1035.587, 0.3935691
1037.515, 0.3932088
1039.444, 0.3914278
1041.372, 0.3883281
1043.301, 0.3844603
1045.229, 0.3797764
1047.157, 0.3743266
1049.086, 0.3678601
1051.014, 0.3614066
1052.943, 0.3539925
1054.871, 0.3456179
1056.800, 0.3370229
1058.728, 0.3278110
1060.657, 0.3178035
1062.585, 0.3074596
1064.514, 0.2970093
1066.442, 0.2864316
1068.371, 0.2756007
1070.299, 0.2652048
1072.228, 0.2548792
1074.156, 0.2443971
1076.084, 0.2342735
1078.013, 0.2245524
1079.941, 0.2159556
1081.870, 0.2092674
1083.798, 0.2050152
1085.727, 0.2049201
1087.655, 0.2101551
1089.584, 0.2195553
1091.512, 0.2281406
1093.441, 0.2288586
1095.369, 0.2189200
1097.298, 0.2028089
1099.226, 0.1863442
1101.155, 0.1715492
1103.083, 0.1585832
1105.011, 0.1471932
1106.940, 0.1365239
1108.868, 0.1265641
1110.797, 0.1169247
1112.725, 0.1073854
1114.654, 9.7911529E-02
1116.582, 8.8518128E-02
1118.511, 8.0079153E-02
1120.439, 7.3219202E-02
1122.368, 6.7837179E-02
1124.296, 6.4401411E-02
1126.225, 6.3941918E-02
1128.153, 6.7856252E-02
1130.082, 7.7529177E-02
1132.010, 9.3827821E-02
1133.938, 0.1138019
1135.867, 0.1288042
1137.795, 0.1327904
1139.724, 0.1277711
1141.652, 0.1182894
1143.581, 0.1074750
1145.509, 9.6537493E-02
1147.438, 8.6236373E-02
1149.366, 7.6646112E-02
1151.295, 6.7629039E-02
1153.223, 5.9054941E-02
1155.152, 5.1398911E-02
1157.080, 4.4321589E-02
1159.009, 3.7989538E-02
1160.937, 3.2417942E-02
1162.865, 2.7898621E-02
1164.794, 2.4051109E-02
1166.722, 2.0803479E-02
1168.651, 1.8290989E-02
1170.579, 1.6353000E-02
1172.508, 1.4580860E-02
1174.436, 1.3057800E-02
1176.365, 1.2055560E-02
1178.293, 1.1238760E-02
1180.222, 1.0621240E-02
1182.150, 1.0011140E-02
1184.079, 9.6368063E-03
1186.007, 9.1527589E-03
1187.936, 8.4988391E-03
1189.864, 8.0667799E-03
1191.792, 7.9106167E-03
1193.721, 7.6133790E-03
1195.649, 7.1547572E-03
1197.578, 6.8547591E-03
1199.506, 6.4341021E-03
1201.435, 5.9355861E-03
1203.363, 5.8552278E-03
1205.292, 5.9663951E-03
1207.220, 5.8332221E-03
1209.149, 5.3700572E-03
1211.077, 5.0249440E-03
1213.006, 4.8244591E-03
1214.934, 4.8010512E-03
1216.863, 4.7751050E-03
1218.791, 4.6342821E-03
1220.719, 4.2727198E-03
1222.648, 4.1885702E-03
1224.576, 4.1203001E-03
1226.505, 3.9895670E-03
1228.433, 4.0601860E-03
1230.362, 4.1302349E-03
1232.290, 3.8837930E-03
1234.219, 3.5098400E-03
1236.147, 3.3290901E-03
1238.076, 3.1953200E-03
1240.004, 3.1428500E-03
1241.933, 3.0722870E-03
1243.861, 3.1225290E-03
1245.790, 3.1105571E-03
1247.718, 3.0280601E-03
1249.646, 2.7256231E-03
1251.575, 2.6766500E-03
1253.503, 2.8152310E-03
1255.432, 2.9649241E-03
1257.360, 2.9640330E-03
1259.289, 2.9663141E-03
1261.217, 3.1315931E-03
1263.146, 3.2782110E-03
1265.074, 3.2049571E-03
1267.003, 3.2222581E-03
1268.931, 3.5097019E-03
1270.860, 3.5022369E-03
1272.788, 3.5324651E-03
1274.717, 3.7739109E-03
1276.645, 3.6891249E-03
1278.573, 3.3065311E-03
1280.502, 3.1556240E-03
1282.430, 3.4377880E-03
1284.359, 3.4402171E-03
1286.287, 3.0458940E-03
1288.216, 3.0255690E-03
1290.144, 3.0546400E-03
1292.073, 3.0356611E-03
1294.001, 2.7980630E-03
1295.930, 2.8478049E-03
1297.858, 2.9551790E-03
1299.787, 2.7818771E-03
1301.715, 2.7741720E-03
1303.644, 2.9637050E-03
1305.572, 2.9979651E-03
1307.500, 2.7525451E-03
1309.429, 2.7583919E-03
1311.357, 2.8415751E-03
1313.286, 2.8020670E-03
1315.214, 2.7725929E-03
1317.143, 2.5895620E-03
1319.071, 2.7135329E-03
1321.000, 2.8635690E-03
1322.928, 2.9118480E-03
1324.857, 3.0117990E-03
1326.785, 3.0477811E-03
1328.714, 3.0566370E-03
1330.642, 3.0753021E-03
1332.571, 2.9917860E-03
1334.499, 2.8417739E-03
1336.427, 3.0462041E-03
1338.356, 3.0372720E-03
1340.284, 3.0495939E-03
1342.213, 3.2648561E-03
1344.141, 3.2484080E-03
1346.070, 2.9849289E-03
1347.998, 3.0350890E-03
1349.927, 2.9018209E-03
1351.855, 2.8525810E-03
1353.784, 3.0812561E-03
1355.712, 3.1979140E-03
1357.641, 3.3874351E-03
1359.569, 3.2648100E-03
1361.498, 3.1545500E-03
1363.426, 3.3667490E-03
1365.354, 3.5753290E-03
1367.283, 3.5390870E-03
1369.211, 3.4937880E-03
1371.140, 3.3259911E-03
1373.068, 3.5139259E-03
1374.997, 3.7727130E-03
1376.925, 3.6686980E-03
1378.854, 3.9080442E-03
1380.782, 4.1074590E-03
1382.711, 4.1994639E-03
1384.639, 4.3843291E-03
1386.568, 4.5099389E-03
1388.496, 4.7943899E-03
1390.424, 4.7851200E-03
1392.353, 4.5971340E-03
1394.281, 4.7297138E-03
1396.210, 5.0834771E-03
1398.138, 5.1711821E-03
1400.067, 5.0416188E-03
1401.995, 5.2241469E-03
1403.924, 5.3277118E-03
1405.852, 5.3938180E-03
1407.781, 5.4062051E-03
1409.709, 5.2464372E-03
1411.638, 5.4540490E-03
1413.566, 5.6121689E-03
1415.495, 5.6602010E-03
1417.423, 5.7537118E-03
1419.351, 5.7897381E-03
1421.280, 5.5265599E-03
1423.208, 5.2226260E-03
1425.137, 5.4699029E-03
1427.065, 5.7307612E-03
1428.994, 5.8247210E-03
1430.922, 5.5990252E-03
1432.851, 5.5277222E-03
1434.779, 5.5825049E-03
1436.708, 5.5573471E-03
1438.636, 5.4342919E-03
1440.565, 5.3963671E-03
1442.493, 5.4175709E-03
1444.422, 5.3709419E-03
1446.350, 5.3091901E-03
1448.278, 5.3248350E-03
1450.207, 5.3776731E-03
1452.135, 5.1681851E-03
1454.064, 5.0297268E-03
1455.992, 5.3639491E-03
1457.921, 5.2830251E-03
1459.849, 4.9309768E-03
1461.778, 5.0943461E-03
1463.706, 5.1356321E-03
1465.635, 5.0273621E-03
1467.563, 5.0297622E-03
1469.492, 5.2530780E-03
1471.420, 5.6053940E-03
1473.349, 5.7219821E-03
1475.277, 5.8305869E-03
1477.205, 6.1103250E-03
1479.134, 6.1452682E-03
1481.062, 5.8710328E-03
1482.991, 5.7317652E-03
1484.919, 6.0022711E-03
1486.848, 6.3518742E-03
1488.776, 6.4140661E-03
1490.705, 6.3827159E-03
1492.633, 6.6076792E-03
1494.562, 6.5213200E-03
1496.490, 6.6856700E-03
1498.419, 6.8081631E-03
1500.347, 6.8879109E-03
1502.276, 6.7450600E-03
1504.204, 6.8590268E-03
1506.132, 7.1309730E-03
1508.061, 7.0891338E-03
1509.989, 6.8150829E-03
1511.918, 6.6175959E-03
1513.846, 6.7682769E-03
1515.775, 6.9740671E-03
1517.703, 7.0017450E-03
1519.632, 7.1199611E-03
1521.560, 7.0902151E-03
1523.489, 7.0310370E-03
1525.417, 7.1706208E-03
1527.346, 7.4424851E-03
1529.274, 7.4029472E-03
1531.203, 7.4167969E-03
1533.131, 7.5903321E-03
1535.059, 7.7666361E-03
1536.988, 7.9591731E-03
1538.916, 7.9839174E-03
1540.845, 8.0546346E-03
1542.773, 8.2675042E-03
1544.702, 7.9348926E-03
1546.630, 7.6925689E-03
1548.559, 7.9755271E-03
1550.487, 7.9494324E-03
1552.416, 7.4964538E-03
1554.344, 7.6971259E-03
1556.273, 8.3088363E-03
1558.201, 8.8653974E-03
1560.130, 8.6952280E-03
1562.058, 8.3713196E-03
1563.986, 8.3298739E-03
1565.915, 8.1323879E-03
1567.843, 8.1880381E-03
1569.772, 8.3129844E-03
1571.700, 8.1679663E-03
1573.629, 8.1993071E-03
1575.557, 8.7710600E-03
1577.486, 8.8354824E-03
1579.414, 8.6660143E-03
1581.343, 8.6676283E-03
