##NAMES=Gaspeite
##RRUFFID=R040157
##IDEAL CHEMISTRY=Ni^2+^CO_3_
##LOCALITY=Lemieux Township, Gaspe Nord County, Gaspe Peninsula, Quebec, Canada
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R040157
##MEASURED CHEMISTRY=(Ni_0.54_Mg_0.31_Fe_0.15_Ca_0.01_Co_0.01_)C_1.00_O_3_; = the gray bands. Light grey bands are also gaspeite: (Ni_0.57_Mg_0.41_Fe_0.08_)C_0.97_O_3_; Dark grey bands, magnesite: (Mg_0.98_Fe_0.04_Ni_0.03_)C_0.97_O_3_
2030.6750, 0.003521
2032.6040, 0.004669
2034.5320, 0.005543
2036.4610, 0.005624
2038.3890, 0.006228
2040.3180, 0.006600
2042.2460, 0.006339
2044.1750, 0.005066
2046.1030, 0.004949
2048.0320, 0.006134
2049.9600, 0.006552
2051.8890, 0.006019
2053.8170, 0.006135
2055.7460, 0.005312
2057.6740, 0.004970
2059.6030, 0.005824
2061.5310, 0.006587
2063.4590, 0.006262
2065.3880, 0.006409
2067.3160, 0.007238
2069.2450, 0.007013
2071.1730, 0.007033
2073.1020, 0.007218
2075.0300, 0.007903
2076.9590, 0.008053
2078.8870, 0.007480
2080.8160, 0.007325
2082.7440, 0.007759
2084.6730, 0.007808
2086.6010, 0.007798
2088.5300, 0.007013
2090.4580, 0.006472
2092.3860, 0.006462
2094.3150, 0.006933
2096.2430, 0.008193
2098.1720, 0.008114
2100.1000, 0.007954
2102.0290, 0.008679
2103.9570, 0.008692
2105.8860, 0.008385
2107.8140, 0.008121
2109.7430, 0.008118
2111.6710, 0.008909
2113.6000, 0.009331
2115.5280, 0.009203
2117.4570, 0.008770
2119.3850, 0.008459
2121.3130, 0.007898
2123.2420, 0.007900
2125.1700, 0.008125
2127.0990, 0.008561
2129.0270, 0.008304
2130.9560, 0.007309
2132.8840, 0.006123
2134.8130, 0.006955
2136.7410, 0.007799
2138.6700, 0.007396
2140.5980, 0.008058
2142.5270, 0.008093
2144.4550, 0.007898
2146.3840, 0.008000
2148.3120, 0.006433
2150.2400, 0.005298
2152.1690, 0.005293
2154.0970, 0.005564
2156.0260, 0.005376
2157.9540, 0.004102
2159.8830, 0.006707
2161.8110, 0.009464
2163.7400, 0.009120
2165.6680, 0.008864
2167.5970, 0.009476
2169.5250, 0.008618
2171.4540, 0.009247
2173.3820, 0.009068
2175.3110, 0.009355
2177.2390, 0.009268
2179.1670, 0.009703
2181.0960, 0.010793
2183.0240, 0.010772
2184.9530, 0.010131
2186.8810, 0.010569
2188.8100, 0.010267
2190.7380, 0.009277
2192.6670, 0.008731
2194.5950, 0.009567
2196.5240, 0.010213
2198.4520, 0.009792
2200.3810, 0.010256
2202.3090, 0.010667
2204.2380, 0.010143
2206.1660, 0.009864
2208.0940, 0.010214
2210.0230, 0.010505
2211.9510, 0.010231
2213.8800, 0.009999
2215.8080, 0.010486
2217.7370, 0.010528
2219.6650, 0.010527
2221.5940, 0.011320
2223.5220, 0.011634
2225.4510, 0.011520
2227.3790, 0.011479
2229.3080, 0.011474
2231.2360, 0.011635
2233.1650, 0.010650
2235.0930, 0.010660
2237.0210, 0.011911
2238.9500, 0.012008
2240.8780, 0.011781
2242.8070, 0.012406
2244.7350, 0.011847
2246.6640, 0.011068
2248.5920, 0.010625
2250.5210, 0.010765
2252.4490, 0.011039
2254.3780, 0.010997
2256.3060, 0.011620
2258.2350, 0.011995
2260.1630, 0.011710
2262.0920, 0.012034
2264.0200, 0.012285
2265.9480, 0.011928
2267.8770, 0.012037
2269.8050, 0.012316
2271.7340, 0.012158
2273.6620, 0.011287
2275.5910, 0.012021
2277.5190, 0.013240
2279.4480, 0.013674
2281.3760, 0.013111
2283.3050, 0.012758
2285.2330, 0.013332
2287.1620, 0.013845
2289.0900, 0.013670
2291.0190, 0.013268
2292.9470, 0.012934
2294.8750, 0.013379
2296.8040, 0.014193
2298.7320, 0.014384
2300.6610, 0.013743
2302.5890, 0.013379
2304.5180, 0.013538
2306.4460, 0.013714
2308.3750, 0.013592
2310.3030, 0.013572
2312.2320, 0.013727
2314.1600, 0.013862
2316.0890, 0.014171
2318.0170, 0.014663
2319.9460, 0.015002
2321.8740, 0.015266
2323.8020, 0.015388
2325.7310, 0.014687
2327.6590, 0.013934
2329.5880, 0.013581
2331.5160, 0.013749
2333.4450, 0.013559
2335.3730, 0.013026
2337.3020, 0.013030
2339.2300, 0.013304
2341.1590, 0.013771
2343.0870, 0.013868
2345.0160, 0.013654
2346.9440, 0.013276
2348.8730, 0.013505
2350.8010, 0.013831
2352.7290, 0.013956
2354.6580, 0.013862
2356.5860, 0.013522
2358.5150, 0.013011
2360.4430, 0.012702
2362.3720, 0.013204
2364.3000, 0.013731
2366.2290, 0.013283
2368.1570, 0.012957
2370.0860, 0.013242
2372.0140, 0.013598
2373.9420, 0.013261
2375.8710, 0.013248
2377.7990, 0.013338
2379.7280, 0.013176
2381.6560, 0.013456
2383.5850, 0.013549
2385.5130, 0.013104
2387.4420, 0.013170
2389.3700, 0.013473
2391.2990, 0.013603
2393.2270, 0.013584
2395.1560, 0.013589
2397.0840, 0.013325
2399.0120, 0.013771
2400.9410, 0.013965
2402.8690, 0.013584
2404.7980, 0.013026
2406.7260, 0.013224
2408.6550, 0.013821
2410.5830, 0.014153
2412.5120, 0.013892
2414.4400, 0.013388
2416.3690, 0.013523
2418.2970, 0.013660
2420.2260, 0.013444
2422.1540, 0.013397
2424.0830, 0.013902
2426.0110, 0.013703
2427.9390, 0.013433
2429.8680, 0.013831
2431.7960, 0.014093
2433.7250, 0.013754
2435.6530, 0.013309
2437.5820, 0.013538
2439.5100, 0.014444
2441.4390, 0.014617
2443.3670, 0.014375
2445.2960, 0.014181
2447.2240, 0.014140
2449.1530, 0.014268
2451.0810, 0.014436
2453.0100, 0.014419
2454.9380, 0.014406
2456.8660, 0.014460
2458.7950, 0.014268
2460.7230, 0.014506
2462.6520, 0.015303
2464.5800, 0.015692
2466.5090, 0.015285
2468.4370, 0.015263
2470.3660, 0.015704
2472.2940, 0.016375
2474.2230, 0.016207
2476.1510, 0.015349
2478.0800, 0.016131
2480.0080, 0.016785
2481.9370, 0.016436
2483.8650, 0.016481
2485.7930, 0.016683
2487.7220, 0.016723
2489.6500, 0.017331
2491.5790, 0.018304
2493.5070, 0.019123
2495.4360, 0.020330
2497.3640, 0.021082
2499.2930, 0.021383
2501.2210, 0.021775
2503.1500, 0.021959
2505.0780, 0.022175
2507.0070, 0.022993
2508.9350, 0.023089
2510.8640, 0.022753
2512.7920, 0.022131
2514.7200, 0.021441
2516.6490, 0.021502
