##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
906.3793, 0.2711881
908.3078, 0.2788702
910.2363, 0.2831254
912.1647, 0.2838714
914.0932, 0.2806305
916.0217, 0.2738610
917.9501, 0.2646980
919.8786, 0.2542413
921.8071, 0.2443868
923.7355, 0.2356011
925.6640, 0.2269676
927.5925, 0.2191648
929.5209, 0.2122306
931.4494, 0.2059795
933.3779, 0.2002256
935.3063, 0.1941036
937.2348, 0.1884624
939.1633, 0.1833004
941.0917, 0.1782470
943.0202, 0.1733405
944.9487, 0.1687971
946.8771, 0.1640385
948.8056, 0.1588585
950.7341, 0.1529585
952.6625, 0.1460439
954.5910, 0.1383138
956.5195, 0.1301520
958.4479, 0.1219842
960.3764, 0.1138861
962.3049, 0.1060183
964.2333, 9.8857909E-02
966.1618, 9.2791863E-02
968.0903, 8.7911971E-02
970.0187, 8.4228367E-02
971.9472, 8.2270592E-02
973.8757, 8.1951387E-02
975.8041, 8.2980640E-02
977.7326, 8.4880181E-02
979.6611, 8.7281607E-02
981.5895, 9.0225309E-02
983.5180, 9.3388774E-02
985.4465, 9.6674919E-02
987.3749, 0.1002478
989.3034, 0.1036179
991.2319, 0.1067474
993.1603, 0.1101696
995.0888, 0.1136858
997.0173, 0.1167408
998.9457, 0.1200745
1000.874, 0.1237017
1002.803, 0.1269501
1004.731, 0.1297856
1006.660, 0.1323311
1008.588, 0.1343701
1010.517, 0.1361391
1012.445, 0.1376154
1014.373, 0.1385254
1016.302, 0.1392191
1018.230, 0.1396855
1020.159, 0.1404025
1022.087, 0.1411445
1024.016, 0.1418672
