id, formula, natoms, volume, mass, density, energy_per_tsite, n_tsites, relative_energy, iza_code
16, O32Si16, 48, 1137.3352399973337, 961.328, 14.067971726645442, -31.591171264648438, 16, 19.789975656227853, AFY
17, O48Si24, 72, 1283.812293877373, 1441.9920000000002, 18.69432168118218, -31.619730631510418, 24, 17.034415637636272, AHT
18, O96Si48, 144, 2479.286845263373, 2883.9840000000004, 19.36040603438163, -31.68066914876302, 48, 11.154742515153094, ANA
19, O64Si32, 96, 1797.0856194901396, 1922.6560000000002, 17.80660846258337, -31.662334442138672, 32, 12.923772787106245, APC
20, O64Si32, 96, 1751.393110909072, 1922.6560000000002, 18.271169277004972, -31.67790412902832, 32, 11.421526364682238, APD
21, O80Si40, 120, 2481.8866978610313, 2403.3199999999997, 16.116771178343182, -31.660662841796874, 40, 13.085057702531083, AST
22, O40Si20, 60, 996.3300328873826, 1201.6600000000003, 20.073669707656645, -31.659173583984376, 20, 13.228749238317802, ASV
23, O32Si16, 48, 881.8076110855379, 961.328, 18.144547403376805, -31.689184188842773, 16, 10.33316603855023, ATN
24, O72Si36, 108, 1906.5522770953496, 2162.9880000000003, 18.882251712943503, -31.69153510199653, 36, 10.106337400332322, ATO
25, O48Si24, 72, 1468.1490662536435, 1441.9920000000002, 16.347113894396376, -31.676493326822918, 24, 11.557648085101858, ATS
26, O24Si12, 36, 694.4092327913771, 720.9960000000001, 17.2808762230343, -31.671117146809895, 12, 12.076370603294638, ATT
27, O48Si24, 72, 1238.0491827272606, 1441.9920000000002, 19.385336491342883, -31.694686889648438, 24, 9.80223611956294, ATV
28, O288Si144, 432, 8708.37788279469, 8651.952, 16.5358005748124, -31.67108832465278, 144, 12.079151518718374, AVE
29, O84Si42, 126, 2682.4119507893765, 2523.486, 15.657550283296455, -31.656578427269345, 42, 13.47914379784987, AVL
30, O96Si48, 144, 2642.086656807039, 2883.9840000000004, 18.167458616973594, -31.671966552734375, 48, 11.994415389918785, AWO
31, O48Si24, 72, 1420.7246911030277, 1441.9920000000002, 16.892787286864696, -31.679982503255207, 24, 11.220993735546655, AWW
32, O16Si8, 24, 414.4099232226455, 480.664, 19.304557038085036, -31.685306549072266, 8, 10.707301402606094, BCT
33, O128Si64, 192, 4103.665356664994, 3845.312, 15.595813605038236, -31.665205001831055, 64, 12.646805879627605, BEA
34, O64Si32, 96, 2103.7663534069493, 1922.6560000000002, 15.21081461740156, -31.651203155517578, 32, 13.99777868215298, BEC
35, O24Si12, 36, 629.5351312638276, 720.9960000000001, 19.061684414512847, -31.68432871500651, 12, 10.801648047944218, BIK
36, O48Si24, 72, 1324.2956124382629, 1441.9920000000002, 18.122841890121304, -31.687047322591145, 24, 10.539342290164011, BOF
37, O192Si96, 288, 6027.3332494182305, 5767.968000000001, 15.927441876432848, -31.674781799316406, 96, 11.722785386305183, BOG
38, O184Si92, 276, 7235.0906681944625, 5527.636, 12.715804710566102, -31.52539593240489, 92, 26.13633048320342, BOZ
39, O56Si28, 84, 1909.8772781538287, 1682.3240000000003, 14.66062784257323, -31.64992414202009, 28, 14.121184725219301, BPH
40, O32Si16, 48, 884.2238593149074, 961.328, 18.094965241490687, -31.675228118896484, 16, 11.679722093049367, BRE
41, O192Si96, 288, 5217.046607450005, 5767.968000000001, 18.40121571137794, -31.556615193684895, 96, 23.124129666256533, BSV
42, O24Si12, 36, 695.0144279951336, 720.9960000000001, 17.265828616847106, -31.67229715983073, 12, 11.962516654173623, CAN
43, O48Si24, 72, 1251.3564727596765, 1441.9920000000002, 19.179187164047384, -31.685033162434895, 24, 10.73367920331846, CAS
44, O72Si36, 108, 1966.495741938322, 2162.9880000000003, 18.30667579504432, -31.637000189887154, 36, 15.368156548923182, CDO
45, O64Si32, 96, 1885.6479628414822, 1922.6560000000002, 16.97029383564216, -31.671091079711914, 32, 12.078885695920576, CFI
46, O72Si36, 108, 1898.5640904340346, 2162.9880000000003, 18.961698570718234, -31.660502115885418, 36, 13.1005653956008, CGF
47, O64Si32, 96, 1902.942478526053, 1922.6560000000002, 16.8160626824548, -31.647891998291016, 32, 14.317256789384153, CGS
48, O72Si36, 108, 2366.757206419821, 2162.9880000000003, 15.210685702086431, -31.66332329644097, 36, 12.82836285057658, CHA
49, O112Si56, 168, 3516.714707373606, 3364.648, 15.92395308114788, -31.672049386160715, 56, 11.986423179204543, CON
50, O40Si20, 60, 1232.670850135158, 1201.6600000000003, 16.22493141442184, -31.666888427734374, 20, 12.484379970962792, CSV
51, O256Si128, 384, 7645.523010820554, 7690.624, 16.741823916930755, -31.67247772216797, 128, 11.945095036959133, CTH
52, O48Si24, 72, 1159.5997067022897, 1441.9920000000002, 20.69679723208282, -31.570897420247395, 24, 21.746104282070455, CZP
53, O48Si24, 72, 1348.8794421104733, 1441.9920000000002, 17.792546354216288, -31.682474772135418, 24, 10.980526343006833, DAC
54, O240Si120, 360, 6749.291606965742, 7209.96, 17.779643700110924, -31.690079752604166, 120, 10.246757270914726, DDR
55, O264Si132, 396, 8862.43279322593, 7930.956, 14.894330155134744, -31.65209591027462, 132, 13.911640942237254, DFO
56, O16Si8, 24, 446.3966667102696, 480.664, 17.921280772448824, -31.676048278808594, 8, 11.600588690912614, DFT
57, O68Si34, 102, 1810.5996141650264, 2042.8220000000003, 18.778309535694557, -31.70237103630515, 34, 9.060828671472237, DOH
58, O128Si64, 192, 3807.8219566095545, 3845.312, 16.807508525683524, -31.692123413085938, 64, 10.049574009032236, DON
59, O72Si36, 108, 2235.3869368332107, 2162.9880000000003, 16.104594424712822, -31.671739366319443, 36, 12.016335546789893, EAB
60, O10Si5, 15, 304.85533018742626, 300.415, 16.401222169630362, -31.6201416015625, 5, 16.994763055356252, EDI
61, O400Si200, 600, 10959.141142500548, 12016.6, 18.24960527466717, -31.6766015625, 200, 11.54720492976881, EEI
62, O192Si96, 288, 7208.286041355712, 5767.968000000001, 13.318006451079267, -31.653335571289062, 96, 13.792031836597419, EMT
63, O120Si60, 180, 3506.1313154186482, 3604.98, 17.112878726516186, -31.674088541666666, 60, 11.789674581413667, EON
64, O48Si24, 72, 1338.7635842668756, 1441.9920000000002, 17.926988963583675, -31.675521850585938, 24, 11.651381293214344, EPI
65, O72Si36, 108, 2211.8976250765463, 2162.9880000000003, 16.275617637933927, -31.668470594618057, 36, 12.331724072514987, ERI
66, O96Si48, 144, 2754.3231052033952, 2883.9840000000004, 17.42714930914229, -31.682357788085938, 48, 10.991813587962888, ESV
67, O144Si72, 216, 3915.4007530686213, 4325.976, 18.388922243418214, -31.689134385850693, 72, 10.337971296819669, ETL
68, O96Si48, 144, 3079.6796822194437, 2883.9840000000004, 15.586036520982491, -31.639750162760418, 48, 15.102824500828437, ETR
69, O28Si14, 42, 815.6749445733321, 841.162, 17.163699943392523, -31.65545654296875, 14, 13.587389178048419, ETV
70, O224Si112, 336, 6383.951559037048, 6729.295999999999, 17.543992770661628, -31.674150739397323, 112, 11.783673412666737, EUO
71, O48Si24, 72, 1226.3411891740975, 1441.9920000000002, 19.57041010435542, -31.69305928548177, 24, 9.95927604938483, EWO
72, O192Si96, 288, 5596.49810408655, 5767.968000000001, 17.153583940268117, -31.657969156901043, 96, 13.344958786385938, EWS
73, O96Si48, 144, 2787.640784413506, 2883.9840000000004, 17.21886129245263, -31.663739522298176, 48, 12.788203160189903, EZT
74, O168Si84, 252, 4866.825715356272, 5046.972, 17.259709903922634, -31.67826915922619, 84, 11.386306304528636, FAR
75, O384Si192, 576, 14424.352579612882, 11535.936000000002, 13.310822717365445, -31.653472900390625, 192, 13.778781592518706, FAU
76, O72Si36, 108, 2007.2107467376416, 2162.9880000000003, 17.9353364157259, -31.684644911024307, 36, 10.771139769911095, FER
77, O120Si60, 180, 3458.455338770194, 3604.98, 17.348785548098373, -31.680696614583333, 60, 11.152092466337283, FRA
78, O32Si16, 48, 961.0856825003232, 961.328, 16.64783930437401, -31.667724609375, 16, 12.403700707016787, GIS
79, O192Si96, 288, 5545.009621792877, 5767.968000000001, 17.312864457926796, -31.676732381184895, 96, 11.534582845409513, GIU
80, O48Si24, 72, 1573.4922743031323, 1441.9920000000002, 15.252696433243761, -31.66460673014323, 24, 12.70453032258151, GME
81, O64Si32, 96, 1739.0343449256643, 1922.6560000000002, 18.401016686860117, -31.698326110839844, 32, 9.451104651477063, GON
82, O64Si32, 96, 1740.1571297771222, 1922.6560000000002, 18.389143975807823, -31.630859375, 32, 15.960655117479998, GOO
83, O72Si36, 108, 2015.7314731256179, 2162.9880000000003, 17.859521707114073, -31.67721218532986, 36, 11.488288782764059, HEU
84, O64Si32, 96, 1861.0169753005669, 1922.6560000000002, 17.194899576255494, -31.677734375, 32, 11.437905138612868, IFO
85, O64Si32, 96, 1895.2300367989226, 1922.6560000000002, 16.884493902412274, -31.679027557373047, 32, 11.31313200687166, IFR
86, O128Si64, 192, 3999.998941189174, 3845.312, 16.000004235244425, -31.672916412353516, 64, 11.902767868374358, IFW
87, O96Si48, 144, 2763.427512282539, 2883.9840000000004, 17.369733704486755, -31.643025716145832, 48, 14.786781642062342, IFY
88, O224Si112, 336, 6037.404079760829, 6729.295999999999, 18.55101936533572, -31.694634573800222, 112, 9.807283831593024, IHW
89, O576Si288, 864, 16199.80765912016, 17303.904, 17.777988853951726, -31.69292534722222, 288, 9.97219912694304, IMF
90, O184Si92, 276, 5923.179487053464, 5527.636, 15.532198576978491, -31.66097359035326, 92, 13.055075024625292, IRN
91, O104Si52, 156, 4438.645873357742, 3124.3160000000003, 11.715284679979009, -31.61803260216346, 52, 17.198250564421762, IRR
92, O128Si64, 192, 4224.353905973134, 3845.312, 15.150245794867129, -31.64495277404785, 64, 14.600848818902149, ISV
93, O128Si64, 192, 3935.0121329262856, 3845.312, 16.264244642215672, -31.674766540527344, 64, 11.724257635647263, ITE
94, O112Si56, 168, 3399.2310578453007, 3364.648, 16.474314057220102, -31.667964390345983, 56, 12.380565360212637, ITG
95, O112Si56, 168, 3225.990757242263, 3364.648, 17.35900819749142, -31.683807373046875, 56, 10.85194990046537, ITH
